Date,team1,team2,team1_rs,team2_rs,team1_gn,team2_gn,team1_home_gn,team2_away_gn,team1_win,team1_wr,team1_home_wr,team2_wr,team2_away_wr,team1_total_rs,team2_total_rs,team1_avg_rs,team2_avg_rs,team1_home_rs,team2_away_rs,team1_avg_home_rs,team2_avg_away_rs
20170402,ARI,SFN,6,5,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170402,SLN,CHN,4,3,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170402,TBA,NYA,7,3,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,CIN,PHI,3,4,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20170403,LAN,SDN,14,3,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,MIL,COL,5,7,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20170403,NYN,ATL,6,0,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,WAS,MIA,4,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,BAL,TOR,3,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,BOS,PIT,5,3,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,HOU,SEA,3,0,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,MIN,KCA,7,1,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,OAK,ANA,4,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20170403,TEX,CLE,5,8,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20170404,ARI,SFN,4,8,2.0,2.0,2.0,2.0,0,1.0,1.0,0.0,0.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0
20170404,LAN,SDN,0,4,2.0,2.0,2.0,2.0,0,1.0,1.0,0.0,0.0,14.0,3.0,14.0,3.0,14.0,3.0,14.0,3.0
20170404,MIL,COL,5,6,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0
