Date,team1,team2,team1_rs,team2_rs,team1_gn,team2_gn,team1_home_gn,team2_away_gn,team1_win,team1_wr,team1_home_wr,team2_wr,team2_away_wr,team1_total_rs,team2_total_rs,team1_avg_rs,team2_avg_rs,team1_home_rs,team2_away_rs,team1_avg_home_rs,team2_avg_away_rs
20160407,OAK,CHA,1,6,4.0,4.0,4.0,4.0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,9.0,10.0,3.0,3.3333333333333335,9.0,10.0,3.0,3.3333333333333335
20160407,ARI,CHN,6,14,4.0,3.0,4.0,3.0,0,0.3333333333333333,0.3333333333333333,1.0,1.0,19.0,15.0,6.333333333333333,7.5,19.0,15.0,6.333333333333333,7.5
20160407,CIN,PHI,10,6,3.0,3.0,3.0,3.0,1,1.0,1.0,0.0,0.0,9.0,4.0,4.5,2.0,9.0,4.0,4.5,2.0
20160407,SFN,LAN,12,6,4.0,4.0,1.0,4.0,1,0.6666666666666666,,1.0,1.0,17.0,25.0,5.666666666666667,8.333333333333334,0.0,25.0,,8.333333333333334
20160407,WAS,MIA,4,6,3.0,3.0,1.0,1.0,0,1.0,,0.0,,7.0,10.0,3.5,5.0,0.0,0.0,,
20160408,ANA,TEX,3,7,4.0,5.0,4.0,2.0,0,0.3333333333333333,0.3333333333333333,0.25,0.0,5.0,13.0,1.6666666666666667,3.25,5.0,3.0,1.6666666666666667,3.0
20160408,BAL,TBA,6,1,4.0,5.0,4.0,1.0,1,1.0,1.0,0.5,,11.0,14.0,3.6666666666666665,3.5,11.0,0.0,3.6666666666666665,
20160408,CHA,CLE,1,7,5.0,3.0,1.0,1.0,0,0.75,,0.5,,16.0,9.0,4.0,4.5,0.0,0.0,,
20160408,DET,NYA,4,0,3.0,4.0,1.0,1.0,1,1.0,,0.6666666666666666,,15.0,27.0,7.5,9.0,0.0,0.0,,
20160408,KCA,MIN,4,3,3.0,4.0,3.0,4.0,1,0.5,0.5,0.0,0.0,4.0,6.0,2.0,2.0,4.0,6.0,2.0,2.0
