,eps1,eps2,bscore
0,0.5,0.5,0.25145362139917493
1,0.5,0.6,0.2540334156378587
2,0.5,0.7,0.2527258436213981
3,0.5,0.75,0.2535044032921793
4,0.5,0.8,0.2514837448559653
5,0.5,0.9,0.2518017283950606
6,0.5,1.0,0.25227399176954546
7,0.5,1.1,0.2557848370370357
8,0.5,1.2,0.2643041975308625
9,0.5,1.25,0.2737043484224948
10,0.5,1.3,0.284220823045266
11,0.5,1.4,0.3092854732510293
12,0.5,1.5,0.3299569855967097
13,0.55,0.55,0.2528923868312742
14,0.55,0.65,0.2540316872427965
15,0.55,0.75,0.2529129218106978
16,0.55,0.85,0.2514045267489693
17,0.55,0.95,0.2526317695473238
18,0.55,1.05,0.2525302469135789
19,0.55,1.15,0.2562385185185176
20,0.55,1.25,0.270253868312756
21,0.55,1.35,0.2936276131687233
22,0.55,1.45,0.3153274485596721
23,0.6,0.5,0.2541063374485577
24,0.6,0.6,0.25188039094650044
25,0.6,0.7,0.2524529423868299
26,0.6,0.8,0.25249246913580103
27,0.6,0.9,0.2525305349794218
28,0.6,1.0,0.2521214814814791
29,0.6,1.1,0.25372146090534864
30,0.6,1.2,0.2607021399176942
31,0.6,1.3,0.2740111111111101
32,0.6,1.4,0.2996218518518512
33,0.6,1.5,0.3210439917695489
34,0.6111111111111112,1.1333333333333333,0.2529112604938275
35,0.65,0.55,0.2530180658436193
36,0.65,0.65,0.2528533333333314
37,0.65,0.75,0.2536798765432076
38,0.65,0.85,0.2510580246913562
39,0.65,0.95,0.2511357201646075
40,0.65,1.05,0.2539179012345663
41,0.65,1.15,0.2556667489711922
42,0.65,1.25,0.262051399176954
43,0.65,1.35,0.281887777777777
44,0.65,1.45,0.307926378600823
45,0.7,0.5,0.2520952674897106
46,0.7,0.6,0.2526458641975292
47,0.7,0.7,0.2516545884773646
48,0.7,0.8,0.2522082921810678
49,0.7,0.9,0.25149977366254933
50,0.7,1.0,0.2527595884773645
51,0.7,1.1,0.25242201646090356
52,0.7,1.2,0.2582710699588462
53,0.7,1.3,0.2695640740740727
54,0.7,1.4,0.2903092181069949
55,0.7,1.5,0.3122299588477378
56,0.7222222222222222,1.1666666666666663,0.2523842382716048
57,0.75,0.5,0.2508794238683109
58,0.75,0.55,0.2547711934156363
59,0.75,0.65,0.2523569958847721
60,0.75,0.75,0.2537961728395042
61,0.75,0.85,0.253076584362138
62,0.75,0.95,0.2524497119341545
63,0.75,1.0,0.2528057613168702
64,0.75,1.05,0.2527310288065829
65,0.75,1.15,0.2545570781892989
66,0.75,1.25,0.2596350102880645
67,0.75,1.35,0.2747859259259244
68,0.75,1.45,0.2970307407407406
69,0.75,1.5,0.3096119753086429
70,0.8,0.5,0.252392716049381
71,0.8,0.6,0.25219582304526567
72,0.8,0.7,0.25351880658436055
73,0.8,0.8,0.2530909465020553
74,0.8,0.9,0.25286999999999793
75,0.8,1.0,0.2515307407407384
76,0.8,1.1,0.2522687448559652
77,0.8,1.2,0.2551018106995875
78,0.8,1.3,0.2631436625514394
79,0.8,1.4,0.2814339506172827
80,0.8,1.5,0.3051959259259265
81,0.8333333333333333,1.2,0.2523009975308646
82,0.85,0.55,0.2531972427983515
83,0.85,0.65,0.2516954320987635
84,0.85,0.75,0.2541631687242781
85,0.85,0.85,0.2522388888888868
86,0.85,0.95,0.2532840740740718
87,0.85,1.05,0.2522106995884756
88,0.85,1.15,0.254158847736624
89,0.85,1.25,0.2573912345679003
90,0.85,1.35,0.2678565843621386
91,0.85,1.45,0.2875756790123449
92,0.9,0.5,0.2534867489711914
