index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
81,20140331,ANA,SEA,3,10,1,34,6,36,11,0.0,0.0,0.08256880733944955,0.07490132755918044
82,20140401,ANA,SEA,3,8,2,33,8,36,10,0.0,0.0,0.1,0.11968610452510611
83,20140402,ANA,SEA,2,8,3,29,3,38,13,0.0,0.0,0.08648648648648649,0.12575091909003538
0,20140404,ANA,HOU,11,1,4,41,15,33,7,1.0,0.25,0.3311926605504587,0.367137673010264
1,20140405,ANA,HOU,5,1,5,41,14,31,4,1.0,0.4,0.4235294117647059,0.44516098304654667
2,20140406,ANA,HOU,4,7,6,34,8,31,7,0.0,0.3333333333333333,0.3902439024390244,0.4241263677603826
3,20140407,ANA,HOU,9,1,7,36,8,30,4,1.0,0.42857142857142855,0.5136960600375234,0.5090170925866838
4,20140408,ANA,SEA,3,5,8,30,4,32,8,0.0,0.375,0.487656202377324,0.4922098057160818
5,20140409,ANA,SEA,2,0,9,34,7,29,1,1.0,0.4444444444444444,0.5120464441219158,0.5071810257684184
84,20140411,ANA,NYN,5,4,10,42,11,41,10,1.0,0.5,0.5217288615965989,0.512598292396859
85,20140412,ANA,NYN,6,7,11,45,9,47,11,0.0,0.45454545454545453,0.5095229457645565,0.5054406265238133
86,20140413,ANA,NYN,14,2,12,40,17,30,6,1.0,0.5,0.6062120189061445,0.5608662466183627
87,20140414,ANA,OAK,2,3,13,33,5,34,9,0.0,0.46153846153846156,0.5943820224719101,0.5522482954176392
88,20140415,ANA,OAK,9,10,14,46,12,46,16,0.0,0.42857142857142855,0.5754279769223494,0.5415964479059672
89,20140416,ANA,OAK,5,4,15,49,12,43,8,1.0,0.4666666666666667,0.5774518021793797,0.5418396943653995
6,20140418,ANA,DET,11,6,16,38,13,37,11,1.0,0.5,0.5984422621063326,0.553059811382763
7,20140419,ANA,DET,2,5,17,30,4,31,10,0.0,0.47058823529411764,0.578168130489335,0.5410639546587503
8,20140420,ANA,DET,1,2,18,32,7,28,5,0.0,0.4444444444444444,0.5714546006680838,0.5365000837518283
9,20140421,ANA,WAS,4,2,19,38,12,29,3,1.0,0.47368421052631576,0.5797010854122862,0.5399249513901553
10,20140422,ANA,WAS,7,2,20,36,9,28,3,1.0,0.5,0.6009892827699918,0.5500268477644975
11,20140423,ANA,WAS,4,5,21,31,8,37,11,0.0,0.47619047619047616,0.5918935497569953,0.5447887554332113
12,20140425,ANA,NYA,13,1,22,43,16,31,6,1.0,0.5,0.6387719226523855,0.5679408658013505
13,20140426,ANA,NYA,3,4,23,36,9,31,7,0.0,0.4782608695652174,0.6304448206864707,0.5627117070528472
14,20140427,ANA,NYA,2,3,24,31,6,27,3,0.0,0.4583333333333333,0.6235932253422383,0.5582770936393935
90,20140428,ANA,CLE,6,3,25,29,7,32,5,1.0,0.48,0.631004366812227,0.5611690399776145
91,20140429,ANA,CLE,6,4,26,35,12,34,10,1.0,0.5,0.6335302249591555,0.5617576208950461
92,20140430,ANA,CLE,7,1,27,30,8,28,3,1.0,0.5185185185185185,0.6513995657531835,0.5695815535819048
93,20140502,ANA,TEX,2,5,28,35,8,35,9,0.0,0.5,0.6369528172751907,0.5618538081081301
94,20140503,ANA,TEX,5,3,29,37,14,36,10,1.0,0.5172413793103449,0.64,0.5625894432503817
95,20140504,ANA,TEX,3,14,30,34,9,40,15,0.0,0.5,0.5956599594741059,0.5421891141599812
96,20140505,ANA,NYA,4,1,31,28,4,31,6,1.0,0.5161290322580645,0.6039369899756779,0.5453063219866087
97,20140506,ANA,NYA,3,4,32,30,6,32,8,0.0,0.5,0.5983670633197256,0.542349014293121
98,20140507,ANA,NYA,2,9,33,33,6,36,12,0.0,0.48484848484848486,0.5730877784320494,0.5310917515315244
15,20140509,ANA,TOR,4,3,34,34,9,33,7,1.0,0.5,0.574580484773151,0.5314027173111118
16,20140510,ANA,TOR,5,3,35,37,12,33,6,1.0,0.5142857142857142,0.5787733234805099,0.5328851089796418
17,20140511,ANA,TOR,9,3,36,38,12,33,6,1.0,0.5277777777777778,0.5932912608039511,0.5388373862534648
18,20140512,ANA,TOR,3,7,37,32,7,32,9,0.0,0.5135135135135135,0.5794912559618441,0.5327670641568344
19,20140513,ANA,PHI,4,3,38,35,7,29,4,1.0,0.5263157894736842,0.5806999766154806,0.5329613836971185
20,20140514,ANA,PHI,3,0,39,33,8,33,5,1.0,0.5384615384615384,0.5881920627143558,0.5356332989544315
99,20140515,ANA,TBA,6,5,40,34,8,33,8,1.0,0.55,0.5882505586390832,0.5354548444902147
100,20140516,ANA,TBA,0,3,41,31,4,33,6,0.0,0.5365853658536586,0.5797010854122862,0.5315967820911567
101,20140517,ANA,TBA,6,0,42,30,9,29,5,1.0,0.5476190476190477,0.5938941357346804,0.5369925672659326
102,20140518,ANA,TBA,6,2,43,35,12,32,5,1.0,0.5581395348837209,0.6020086234094016,0.5399696429732197
