index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20130401,ANA,CIN,3,1,1,45,6,42,3,1.0,1.0,0.9,0.8369140440210939
1,20130403,ANA,CIN,4,5,2,34,9,31,6,0.0,0.5,0.5764705882352941,0.558433834810328
2,20130404,ANA,CIN,4,5,3,36,11,30,7,0.0,0.3333333333333333,0.5,0.5
3,20130405,ANA,TEX,2,3,4,31,6,35,12,0.0,0.25,0.46301369863013697,0.47538187178422725
4,20130406,ANA,TEX,8,4,5,35,12,36,9,1.0,0.4,0.5764705882352941,0.5505240399729652
5,20130407,ANA,TEX,3,7,6,35,10,30,8,0.0,0.3333333333333333,0.47960033305578686,0.48698795684648816
81,20130409,ANA,OAK,5,9,7,37,13,38,12,0.0,0.2857142857142857,0.42113169754631946,0.44998098714735146
82,20130410,ANA,OAK,5,11,8,40,14,44,16,0.0,0.25,0.3634077334171644,0.41308522100945194
83,20130411,ANA,OAK,1,8,9,31,5,41,16,0.0,0.2222222222222222,0.3036688150718889,0.376831596689241
84,20130412,ANA,HOU,0,5,10,29,4,35,10,0.0,0.2,0.2669426890390063,0.3572597105898739
85,20130413,ANA,HOU,5,4,11,34,13,30,4,1.0,0.2727272727272727,0.29390154298310067,0.3783455977167843
86,20130414,ANA,HOU,4,1,12,31,9,33,7,1.0,0.3333333333333333,0.32785774767146486,0.40298716435741766
6,20130415,ANA,MIN,2,8,13,34,9,35,12,0.0,0.3076923076923077,0.2956546038843091,0.3854447135641103
7,20130416,ANA,MIN,6,8,14,37,10,36,15,0.0,0.2857142857142857,0.3022917831190609,0.3904028537284141
87,20130419,ANA,DET,8,1,15,37,16,34,10,1.0,0.3333333333333333,0.36,0.4253875391861695
88,20130420,ANA,DET,10,0,16,35,14,31,4,1.0,0.375,0.4336283185840708,0.4657189577882041
89,20130421,ANA,DET,4,3,17,42,7,49,10,1.0,0.4117647058823529,0.4428629195309341,0.4711249651691648
