index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,home,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20170403,ANA,OAK,2,4,1,32,7,32,9,N,0.0,0.0,0.2,0.23881437916311218
1,20170404,ANA,OAK,7,6,2,34,9,34,9,N,1.0,0.5,0.44751381215469616,0.455380006067379
2,20170405,ANA,OAK,5,0,3,37,13,33,6,N,1.0,0.6666666666666666,0.6621621621621622,0.6226679444608085
3,20170406,ANA,OAK,1,5,4,32,5,28,5,N,0.0,0.5,0.5,0.5
81,20170407,ANA,SEA,5,1,5,33,11,33,5,Y,1.0,0.6,0.6097560975609756,0.5712328938392612
82,20170408,ANA,SEA,5,4,6,35,13,33,8,Y,1.0,0.6666666666666666,0.6097560975609756,0.56898280948947
83,20170409,ANA,SEA,10,9,7,34,11,33,7,Y,1.0,0.7142857142857143,0.5929332042594385,0.5593208779371407
84,20170411,ANA,TEX,6,5,8,39,12,39,10,Y,1.0,0.75,0.5925273175890025,0.5575213905774289
85,20170412,ANA,TEX,3,8,9,32,6,37,11,Y,0.0,0.6666666666666666,0.5232432432432432,0.5140021702972858
86,20170413,ANA,TEX,3,8,10,33,7,37,11,Y,0.0,0.6,0.46910172011042683,0.4818035944254959
4,20170414,ANA,KCA,1,7,11,30,4,29,8,N,0.0,0.5454545454545454,0.41491085899513774,0.45107055311972966
5,20170415,ANA,KCA,2,3,12,33,6,29,6,N,0.0,0.5,0.4098360655737705,0.4498622820371796
6,20170416,ANA,KCA,0,1,13,28,2,31,6,N,0.0,0.46153846153846156,0.4018646519852114,0.44756388527342805
7,20170417,ANA,HOU,0,3,14,32,5,29,9,N,0.0,0.42857142857142855,0.3790175864160097,0.43714530582268163
8,20170418,ANA,HOU,5,2,15,35,9,35,11,N,1.0,0.4666666666666667,0.4098360655737705,0.4544376641779967
9,20170419,ANA,HOU,1,5,16,32,8,29,9,N,0.0,0.4375,0.38351473645591294,0.44208359466215386
10,20170420,ANA,HOU,1,2,17,31,6,27,3,N,0.0,0.4117647058823529,0.37875961762648636,0.4412458767469198
87,20170421,ANA,TOR,7,8,18,51,11,50,12,Y,0.0,0.3888888888888889,0.38434831566106786,0.44406624905229486
88,20170422,ANA,TOR,5,4,19,32,9,33,10,Y,1.0,0.42105263157894735,0.3972134156515935,0.4510713340946005
89,20170423,ANA,TOR,2,6,20,31,7,33,9,Y,0.0,0.4,0.37839663714157035,0.44266163452867285
90,20170424,ANA,TOR,2,1,21,27,5,30,7,Y,1.0,0.42857142857142855,0.3863553976654825,0.44768344598242393
91,20170425,ANA,OAK,2,1,22,35,5,35,5,Y,1.0,0.45454545454545453,0.39407313997477933,0.45232941813142963
92,20170426,ANA,OAK,8,5,23,39,14,37,11,Y,1.0,0.4782608695652174,0.4176923543321409,0.46327094616574205
93,20170427,ANA,OAK,2,1,24,29,7,31,3,Y,1.0,0.5,0.4243509925995536,0.466920838789775
11,20170428,ANA,TEX,6,3,25,37,10,32,7,N,1.0,0.52,0.4431897243778432,0.4754545224814572
12,20170429,ANA,TEX,3,6,26,32,6,33,10,N,0.0,0.5,0.43102439024390243,0.4704152028802079
13,20170430,ANA,TEX,5,2,27,36,10,31,5,N,1.0,0.5185185185185185,0.44751381215469616,0.47779381535075327
14,20170502,ANA,SEA,6,4,28,41,10,39,7,N,1.0,0.5357142857142857,0.45897339827650807,0.482785204628758
15,20170503,ANA,SEA,7,8,29,37,11,34,12,N,0.0,0.5172413793103449,0.4573428613096106,0.4821124075949908
16,20170504,ANA,SEA,3,11,30,36,9,37,16,N,0.0,0.5,0.42779970240020704,0.4696840775959604
94,20170505,ANA,HOU,6,7,31,36,10,39,12,Y,0.0,0.4838709677419355,0.4275868111328524,0.4697104718615221
95,20170506,ANA,HOU,2,1,32,29,5,33,9,Y,1.0,0.5,0.432133676092545,0.4720446996907184
96,20170507,ANA,HOU,3,5,33,32,6,32,6,Y,0.0,0.48484848484848486,0.42686599268659925,0.4701140853239884
17,20170508,ANA,OAK,2,3,34,42,9,37,6,N,0.0,0.47058823529411764,0.42462096669690297,0.46954133296407485
18,20170509,ANA,OAK,7,3,35,33,8,32,7,N,1.0,0.4857142857142857,0.440973650463355,0.4763558852826011
19,20170510,ANA,OAK,1,3,36,31,4,28,5,N,0.0,0.4722222222222222,0.43498506620258226,0.4742448232306089
97,20170511,ANA,DET,1,7,37,32,4,37,11,Y,0.0,0.4594594594594595,0.41696843134205674,0.467260385310758
98,20170512,ANA,DET,7,0,38,36,13,30,4,Y,1.0,0.47368421052631576,0.4413793103448276,0.47717110339892943
99,20170513,ANA,DET,3,4,39,34,8,32,6,Y,0.0,0.46153846153846156,0.43951998372826195,0.4766338490620255
100,20170514,ANA,DET,4,1,40,27,5,28,4,Y,1.0,0.475,0.44981258630893667,0.4808244116295754
101,20170515,ANA,CHA,5,3,41,30,6,31,5,Y,1.0,0.4878048780487805,0.45713427004282814,0.4837466778637307
102,20170516,ANA,CHA,7,6,42,42,13,42,11,Y,1.0,0.5,0.4617082283430359,0.4855226124955623
103,20170517,ANA,CHA,12,8,43,35,13,40,15,Y,1.0,0.5116279069767442,0.4749461081558909,0.4905073332287655
20,20170519,ANA,NYN,0,3,44,32,6,30,6,N,0.0,0.5,0.4668872152940818,0.4875802015727042
21,20170520,ANA,NYN,5,7,45,32,8,30,7,N,0.0,0.4888888888888889,0.4626192243988806,0.4860220814741949
22,20170521,ANA,NYN,12,5,46,36,12,33,7,N,1.0,0.5,0.4821029229059047,0.4933141202575861
