index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20190328,ANA,OAK,0,4,1,28,3,30,7,0.0,0.0,0.0,0.0
1,20190329,ANA,OAK,6,2,2,35,10,32,7,1.0,0.5,0.5,0.5
2,20190330,ANA,OAK,2,4,3,33,6,31,7,0.0,0.3333333333333333,0.3902439024390244,0.4241263677603826
3,20190331,ANA,OAK,1,2,4,29,3,31,7,0.0,0.25,0.36,0.411940162334874
4,20190401,ANA,SEA,3,6,5,35,8,33,10,0.0,0.2,0.3076923076923077,0.378785068403781
5,20190402,ANA,SEA,1,2,6,31,4,29,5,0.0,0.16666666666666666,0.29701230228471004,0.3797874861272187
81,20190404,ANA,TEX,4,11,7,35,8,39,15,0.0,0.14285714285714285,0.2312,0.3315279757373273
82,20190405,ANA,TEX,3,1,8,29,6,32,6,1.0,0.25,0.2808988764044944,0.3723102663240547
83,20190406,ANA,TEX,5,1,9,33,10,31,6,1.0,0.3333333333333333,0.3646441073512252,0.42589788613938395
84,20190407,ANA,TEX,7,2,10,32,9,29,6,1.0,0.4,0.4553134726545131,0.476309130166865
85,20190408,ANA,MIL,5,2,11,27,5,32,6,1.0,0.45454545454545453,0.5,0.5
86,20190409,ANA,MIL,11,8,12,35,12,36,10,1.0,0.5,0.5322245322245323,0.5169635115886672
87,20190410,ANA,MIL,4,2,13,28,5,32,7,1.0,0.5384615384615384,0.550376552004885,0.5258695532108666
6,20190412,ANA,CHN,1,5,14,31,4,34,10,0.0,0.5,0.5095229457645565,0.5047619047619047
7,20190413,ANA,CHN,6,5,15,33,9,35,9,1.0,0.5333333333333333,0.5172362555720654,0.5085372355749563
8,20190415,ANA,TEX,7,12,16,33,8,38,14,0.0,0.5,0.4777887462981244,0.4889123906087464
9,20190416,ANA,TEX,0,5,17,28,3,31,9,0.0,0.47058823529411764,0.44304312449145644,0.4721459874621939
10,20190417,ANA,TEX,4,5,18,36,10,29,6,0.0,0.4444444444444444,0.43981689255901624,0.4709663927989482
88,20190418,ANA,SEA,10,11,19,41,16,40,13,0.0,0.42105263157894735,0.4413793103448276,0.4715102496435253
89,20190419,ANA,SEA,3,5,20,32,9,33,6,0.0,0.4,0.4328892798793515,0.4678497409975757
90,20190420,ANA,SEA,5,6,21,38,13,36,9,0.0,0.38095238095238093,0.4315408191696852,0.467527625445349
91,20190421,ANA,SEA,8,6,22,34,11,35,10,1.0,0.4090909090909091,0.44597144931042826,0.4745625879764192
92,20190422,ANA,NYA,3,4,23,46,7,46,5,0.0,0.391304347826087,0.44304312449145644,0.4735797654751328
93,20190423,ANA,NYA,5,7,24,34,8,41,14,0.0,0.375,0.4371867421180275,0.4710728241414481
94,20190424,ANA,NYA,5,6,25,34,8,33,7,0.0,0.36,0.4358880287632535,0.4707362217477823
95,20190425,ANA,NYA,11,5,26,32,9,35,9,1.0,0.38461538461538464,0.4639025804581038,0.4836222937896607
11,20190426,ANA,KCA,5,1,27,34,10,27,5,1.0,0.4074074074074074,0.4803996925441968,0.49124314879050585
12,20190427,ANA,KCA,4,9,28,32,7,38,15,0.0,0.39285714285714285,0.4627384461375897,0.48343827020064634
13,20190428,ANA,KCA,7,3,29,34,9,33,6,1.0,0.41379310344827586,0.47842731505431974,0.4905095636119417
96,20190430,ANA,TOR,4,3,30,29,7,31,5,1.0,0.43333333333333335,0.48246153846153844,0.4923776735995808
97,20190501,ANA,TOR,6,3,31,32,8,36,6,1.0,0.45161290322580644,0.4931975937066173,0.49707270258244834
98,20190502,ANA,TOR,6,2,32,35,11,32,6,1.0,0.46875,0.5066222261205158,0.5028207257017386
99,20190504,ANA,HOU,2,14,33,35,8,38,14,0.0,0.45454545454545453,0.4685845254089939,0.4866393697286643
100,20190505,ANA,HOU,4,10,34,33,6,38,13,0.0,0.4411764705882353,0.4519188993482983,0.47961419310943926
14,20190507,ANA,DET,5,2,35,35,9,32,5,1.0,0.45714285714285713,0.4617082283430359,0.4839478213975777
15,20190508,ANA,DET,3,10,36,35,7,34,10,0.0,0.4444444444444444,0.44336465439567513,0.4763341913845577
16,20190509,ANA,DET,13,0,37,38,15,32,5,1.0,0.4594594594594595,0.48082896889115656,0.49205500276163067
17,20190510,ANA,BAL,8,3,38,38,12,33,5,1.0,0.47368421052631576,0.49468100155608996,0.4978109556423072
18,20190511,ANA,BAL,7,2,39,36,10,36,9,1.0,0.48717948717948717,0.5077917346897473,0.5031814824862894
19,20190512,ANA,BAL,1,5,40,29,4,33,9,0.0,0.475,0.49744247197184754,0.49896608763661515
20,20190513,ANA,MIN,5,4,41,39,15,35,7,1.0,0.4878048780487805,0.5,0.5
21,20190514,ANA,MIN,3,4,42,34,11,31,7,0.0,0.47619047619047616,0.4975430123754905,0.4990226567293792
22,20190515,ANA,MIN,7,8,43,43,18,32,10,0.0,0.46511627906976744,0.49526076995642604,0.4981203686837754
101,20190517,ANA,KCA,5,2,44,31,10,32,6,1.0,0.4772727272727273,0.5023309896654025,0.5009168134037455
102,20190518,ANA,KCA,6,3,45,29,7,34,8,1.0,0.4888888888888889,0.5091316585009903,0.5035675969024815
103,20190519,ANA,KCA,1,5,46,33,6,36,9,0.0,0.4782608695652174,0.5,0.5
104,20190520,ANA,MIN,1,3,47,33,6,36,10,0.0,0.46808510638297873,0.49553580325647206,0.4982875131257711
105,20190521,ANA,MIN,3,8,48,34,7,36,10,0.0,0.4583333333333333,0.48475300147107675,0.4941789309841497
106,20190523,ANA,MIN,7,16,49,37,10,43,17,0.0,0.4489795918367347,0.46684151689741166,0.48729868919935493
107,20190524,ANA,TEX,3,4,50,33,7,35,7,0.0,0.44,0.4652771396349359,0.4867951236384617
108,20190525,ANA,TEX,3,2,51,33,9,32,5,1.0,0.45098039215686275,0.46764527696363367,0.48780004009938854
109,20190526,ANA,TEX,7,6,52,32,11,37,7,1.0,0.46153846153846156,0.47044007556146367,0.4888959498826419
23,20190527,ANA,OAK,5,8,53,33,9,33,10,0.0,0.4528301886792453,0.4654260427594155,0.4870538682748848
24,20190528,ANA,OAK,6,4,54,34,7,33,7,1.0,0.46296296296296297,0.4698388083483902,0.48876806151622876
25,20190529,ANA,OAK,12,7,55,48,16,44,12,1.0,0.4727272727272727,0.47997161069507366,0.49254830396283833
26,20190530,ANA,SEA,9,3,56,39,15,30,4,1.0,0.48214285714285715,0.49108805195300337,0.49669885774654243
27,20190531,ANA,SEA,3,4,57,32,6,28,5,0.0,0.47368421052631576,0.4894377983016178,0.4961128259494598
28,20190601,ANA,SEA,6,3,58,37,11,34,7,1.0,0.4827586206896552,0.49480083378887363,0.4980970298849326
29,20190602,ANA,SEA,13,3,59,42,15,30,5,1.0,0.4915254237288136,0.5118027398506674,0.5043124207264986
30,20190603,ANA,CHN,1,8,60,28,4,34,11,0.0,0.48333333333333334,0.5,0.5
110,20190604,ANA,OAK,2,4,61,30,4,34,8,0.0,0.47540983606557374,0.4967105619096054,0.4988124086410394
111,20190605,ANA,OAK,10,9,62,40,14,40,15,1.0,0.4838709677419355,0.49840510772518,0.4994244449347784
112,20190606,ANA,OAK,4,7,63,35,9,35,9,0.0,0.47619047619047616,0.49373065395764754,0.497746763276536
113,20190607,ANA,SEA,2,6,64,31,4,35,8,0.0,0.46875,0.4876179979874455,0.4955731899869454
114,20190608,ANA,SEA,12,3,65,39,16,33,7,1.0,0.47692307692307695,0.501512855841546,0.5005395688785993
115,20190609,ANA,SEA,3,9,66,32,7,39,13,0.0,0.4696969696969697,0.49257098954860756,0.49735958462900565
116,20190610,ANA,LAN,5,3,67,33,9,34,8,1.0,0.47761194029850745,0.4955947991461285,0.4984424540949901
117,20190611,ANA,LAN,5,3,68,30,6,39,12,1.0,0.4852941176470588,0.4985486242474543,0.4994894530161118
31,20190613,ANA,TBA,5,3,69,33,6,36,10,1.0,0.4927536231884058,0.5014347172763014,0.5005021667666357
32,20190614,ANA,TBA,4,9,70,34,8,37,13,0.0,0.4857142857142857,0.49436637599282707,0.4980338055111344
33,20190615,ANA,TBA,5,3,71,35,7,33,6,1.0,0.49295774647887325,0.4972145062925777,0.4990325826124673
