index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,home,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
81,20100405,ANA,MIN,6,3,1,33,9,32,7,Y,1.0,1.0,0.8,0.7862127531756472
82,20100406,ANA,MIN,3,5,2,33,8,32,9,Y,0.0,0.5,0.5586206896551724,0.5482916326681918
83,20100407,ANA,MIN,2,4,3,35,9,34,7,Y,0.0,0.3333333333333333,0.45660377358490567,0.4680544373701152
84,20100408,ANA,MIN,1,10,4,34,8,37,11,Y,0.0,0.25,0.22929936305732485,0.29708854070782237
85,20100409,ANA,OAK,4,10,5,35,8,41,13,Y,0.0,0.2,0.2,0.2753112730304569
86,20100410,ANA,OAK,4,3,6,36,13,33,6,Y,1.0,0.3333333333333333,0.24615384615384617,0.3235008529437848
87,20100411,ANA,OAK,4,9,7,32,7,34,9,Y,0.0,0.2857142857142857,0.22929936305732485,0.31390494265456853
0,20100413,ANA,NYA,5,7,8,37,11,34,13,N,0.0,0.25,0.2443346891342243,0.32961454119325695
1,20100414,ANA,NYA,5,3,9,36,10,34,7,N,1.0,0.3333333333333333,0.28388998035363455,0.36335812130300044
2,20100415,ANA,NYA,2,6,10,31,6,33,9,N,0.0,0.3,0.2647058823529412,0.35448612802282403
3,20100416,ANA,TOR,7,5,11,36,11,34,8,N,1.0,0.36363636363636365,0.304412248929865,0.3832169614671098
4,20100417,ANA,TOR,6,3,12,36,10,34,7,N,1.0,0.4166666666666667,0.341779359430605,0.40899362615783785
5,20100418,ANA,TOR,3,1,13,33,7,31,4,N,1.0,0.46153846153846156,0.3622237106496986,0.42385546551028885
88,20100419,ANA,DET,2,0,14,26,4,34,9,Y,1.0,0.5,0.3798358733880422,0.43622178527446415
89,20100420,ANA,DET,6,5,15,32,10,38,11,Y,1.0,0.5333333333333333,0.3966505068312032,0.4460931735679888
90,20100421,ANA,DET,3,4,16,32,4,32,8,Y,0.0,0.5,0.39480752014324083,0.4462587225821479
91,20100422,ANA,DET,4,5,17,34,9,34,11,Y,0.0,0.47058823529411764,0.3945333098962911,0.4469666406599887
92,20100423,ANA,NYA,6,4,18,32,12,35,8,Y,1.0,0.5,0.41316483175686153,0.4570728378637362
93,20100424,ANA,NYA,1,7,19,31,7,38,14,Y,0.0,0.47368421052631576,0.38261598658468415,0.4425232039273411
94,20100425,ANA,NYA,8,4,20,30,7,28,3,Y,1.0,0.5,0.4118079372856443,0.45746947127310555
95,20100426,ANA,CLE,5,2,21,35,15,36,8,Y,1.0,0.5238095238095238,0.4308156411861802,0.46727997287616274
96,20100427,ANA,CLE,2,9,22,35,9,40,18,Y,0.0,0.5,0.4000100999899,0.4529048211838028
97,20100428,ANA,CLE,4,3,23,31,6,31,8,Y,1.0,0.5217391304347826,0.4081064502430048,0.4574305792300504
6,20100430,ANA,DET,6,10,24,37,10,41,16,N,0.0,0.5,0.3970427385051651,0.4523058310139756
7,20100501,ANA,DET,2,3,25,34,11,32,7,N,0.0,0.48,0.39498954541934483,0.45212601961512155
8,20100502,ANA,DET,1,5,26,31,4,35,11,N,0.0,0.46153846153846156,0.3810430706123645,0.4463611278563066
9,20100503,ANA,BOS,8,17,27,36,12,43,20,N,0.0,0.4444444444444444,0.35895458186241064,0.43547197085872336
10,20100504,ANA,BOS,1,5,28,29,5,34,11,N,0.0,0.42857142857142855,0.34780522230063515,0.4310618939024087
11,20100505,ANA,BOS,1,3,29,28,2,32,11,N,0.0,0.41379310344827586,0.3430227788564084,0.42985234731564476
12,20100506,ANA,BOS,6,11,30,35,9,36,11,N,0.0,0.4,0.3356798457087753,0.42647023184697874
13,20100507,ANA,SEA,8,0,31,31,5,28,2,N,1.0,0.41935483870967744,0.3655369312948978,0.44107159951195724
14,20100508,ANA,SEA,4,3,32,40,12,34,7,N,1.0,0.4375,0.37174721189591076,0.444515186735844
15,20100509,ANA,SEA,1,8,33,32,5,33,12,N,0.0,0.42424242424242425,0.3539080222726335,0.4369935777699994
98,20100510,ANA,TBA,5,4,34,36,8,44,12,Y,1.0,0.4411764705882353,0.36084827438203565,0.4406349808857886
99,20100511,ANA,TBA,2,7,35,34,8,35,12,Y,0.0,0.42857142857142855,0.3501507685518864,0.43636670739850186
100,20100512,ANA,TBA,3,4,36,33,8,36,8,Y,0.0,0.4166666666666667,0.3503568596352101,0.43707514170965633
101,20100514,ANA,OAK,4,0,37,29,7,30,4,Y,1.0,0.43243243243243246,0.3631950802397692,0.44340652453805884
102,20100515,ANA,OAK,12,3,38,37,15,35,11,Y,1.0,0.4473684210526316,0.39328908319239236,0.4563464649769049
103,20100516,ANA,OAK,4,0,39,29,7,30,4,Y,1.0,0.46153846153846156,0.4053576455134019,0.46183073021471865
16,20100517,ANA,TEX,3,4,40,32,5,30,9,N,0.0,0.45,0.40446937455825077,0.4617999277671238
17,20100518,ANA,TEX,7,8,41,35,9,33,12,N,0.0,0.43902439024390244,0.40561797752808987,0.462358172387922
18,20100519,ANA,CHA,3,2,42,29,3,31,6,N,1.0,0.4523809523809524,0.40937301404870396,0.4642392924430355
19,20100520,ANA,CHA,6,5,43,35,11,37,12,N,1.0,0.46511627906976744,0.41434344467747714,0.4664102894034821
20,20100521,ANA,SLN,5,9,44,33,8,34,11,N,0.0,0.45454545454545453,0.4076637206089049,0.46385005225987874
21,20100522,ANA,SLN,10,7,45,38,13,36,8,N,1.0,0.4666666666666667,0.41820181468243056,0.46807709491558624
22,20100523,ANA,SLN,5,6,46,40,9,35,7,N,0.0,0.45652173913043476,0.4179903026249791,0.4681571186106315
104,20100524,ANA,TOR,0,6,47,30,3,33,6,Y,0.0,0.44680851063829785,0.4058276855647092,0.4636448723503923
105,20100525,ANA,TOR,8,3,48,33,12,32,4,Y,1.0,0.4583333333333333,0.41886357695398346,0.468913284315761
106,20100526,ANA,TOR,6,5,49,31,8,33,6,Y,1.0,0.46938775510204084,0.4228780379700081,0.4706151763147365
107,20100528,ANA,SEA,3,8,50,33,5,36,11,Y,0.0,0.46,0.4143225431796785,0.46745700113535354
108,20100529,ANA,SEA,5,1,51,36,8,34,4,Y,1.0,0.47058823529411764,0.4235294117647059,0.4712252898760357
109,20100530,ANA,SEA,9,7,52,33,10,37,13,Y,1.0,0.4807692307692308,0.4299249901302803,0.47370398046660117
23,20100531,ANA,KCA,7,1,53,38,11,34,8,N,1.0,0.49056603773584906,0.44276300876239905,0.4786956776557686
24,20100601,ANA,KCA,3,6,54,33,7,32,10,N,0.0,0.48148148148148145,0.43798356081743456,0.477029311905134
25,20100602,ANA,KCA,7,2,55,40,14,31,7,N,1.0,0.4909090909090909,0.4485119850651576,0.48105903884780093
26,20100603,ANA,KCA,5,4,56,37,12,33,7,N,1.0,0.5,0.451244272118435,0.4821655481358625
27,20100604,ANA,SEA,7,1,57,32,8,33,9,N,1.0,0.5087719298245614,0.46301369863013697,0.4865645233489694
28,20100605,ANA,SEA,11,2,58,37,12,33,8,N,1.0,0.5172413793103449,0.48011636648906614,0.4928074275017172
29,20100606,ANA,SEA,9,4,59,47,18,38,12,N,1.0,0.5254237288135594,0.4894004844066019,0.4961787748710054
30,20100607,ANA,OAK,4,2,60,33,6,35,7,N,1.0,0.5333333333333333,0.49300733496332516,0.49749569850818576
31,20100608,ANA,OAK,1,10,61,35,8,42,18,N,0.0,0.5245901639344263,0.4777126254932982,0.4920454327122464
32,20100609,ANA,OAK,7,1,62,41,16,32,7,N,1.0,0.532258064516129,0.48815732974551285,0.4957975291493808
33,20100610,ANA,OAK,1,6,63,31,6,33,9,N,0.0,0.5238095238095238,0.47994118765164306,0.49292048014554685
34,20100611,ANA,LAN,10,1,64,39,13,31,5,N,1.0,0.53125,0.49507401116233923,0.498268682457436
35,20100612,ANA,LAN,4,2,65,34,9,32,5,N,1.0,0.5384615384615384,0.4983739880388974,0.49943195517382205
36,20100613,ANA,LAN,6,5,66,35,12,34,9,N,1.0,0.5454545454545454,0.5,0.5
110,20100614,ANA,MIL,2,12,67,31,4,38,12,Y,0.0,0.5373134328358209,0.48437881376617037,0.49457294708355537
111,20100615,ANA,MIL,1,7,68,32,7,39,12,Y,0.0,0.5294117647058824,0.47532368621477533,0.4914650896446066
112,20100616,ANA,MIL,5,1,69,30,9,30,3,Y,1.0,0.5362318840579711,0.481657551535549,0.4936937263369889
37,20100618,ANA,CHN,7,6,70,33,7,33,7,N,1.0,0.5428571428571428,0.4835127300510101,0.49434642493142483
38,20100619,ANA,CHN,12,0,71,42,15,30,2,N,1.0,0.5492957746478874,0.5014727508556704,0.5005033580966552
39,20100620,ANA,CHN,1,12,72,34,10,43,18,N,0.0,0.5416666666666666,0.4855521500572068,0.49507327798717565
113,20100622,ANA,LAN,6,3,73,30,8,37,10,Y,1.0,0.547945205479452,0.490015260962458,0.49660975314311395
