index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
81,20220407,ANA,HOU,1,3,1,29,4,35,8,0.0,0.0,0.1,0.1630859559789061
82,20220408,ANA,HOU,6,13,2,40,13,40,14,0.0,0.0,0.16065573770491803,0.18493475591245642
83,20220409,ANA,HOU,2,0,3,27,6,29,2,1.0,0.3333333333333333,0.2403560830860534,0.2959608151330349
84,20220410,ANA,HOU,1,4,4,33,7,34,7,0.0,0.25,0.2,0.2788691360543353
85,20220411,ANA,MIA,6,2,5,30,7,30,3,1.0,0.4,0.34594594594594597,0.3975172655432892
86,20220412,ANA,MIA,4,3,6,29,4,31,5,1.0,0.5,0.3902439024390244,0.43101719051052995
0,20220414,ANA,TEX,5,10,7,36,11,39,13,0.0,0.42857142857142855,0.33783783783783783,0.39681833322705506
1,20220415,ANA,TEX,9,6,8,36,11,34,8,1.0,0.5,0.40747268241099754,0.44247860942257117
2,20220416,ANA,TEX,7,2,9,39,12,33,6,1.0,0.5555555555555556,0.4762039660056657,0.4857609335148724
3,20220417,ANA,TEX,8,3,10,35,10,33,7,1.0,0.6,0.5315474872703122,0.5184687300024374
4,20220418,ANA,HOU,3,8,11,32,6,32,9,0.0,0.5454545454545454,0.4811387900355872,0.4891923393062576
5,20220419,ANA,HOU,7,2,12,36,13,33,6,1.0,0.5833333333333334,0.526069215656642,0.5145800144268902
6,20220420,ANA,HOU,6,0,13,32,6,28,1,1.0,0.6153846153846154,0.573970927863062,0.5403458837317577
87,20220422,ANA,BAL,3,5,14,30,8,35,8,0.0,0.5714285714285714,0.5541042540443379,0.5287794680066369
88,20220423,ANA,BAL,4,5,15,34,6,33,6,0.0,0.5333333333333333,0.5433962264150943,0.5226276567629105
89,20220424,ANA,BAL,7,6,16,29,7,34,9,1.0,0.5625,0.5462582056892779,0.5238843018347145
90,20220425,ANA,CLE,3,0,17,30,8,28,3,1.0,0.5882352941176471,0.5646624118239839,0.5325281228083522
91,20220426,ANA,CLE,4,1,18,31,8,31,4,1.0,0.6111111111111112,0.5812180746561886,0.5400393448686919
