index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20150406,ANA,SEA,1,4,1,29,4,32,10,0.0,0.0,0.058823529411764705,0.0997335823282657
1,20150407,ANA,SEA,2,0,2,32,5,29,2,1.0,0.5,0.36,0.40929552646658923
2,20150408,ANA,SEA,5,3,3,34,10,35,9,1.0,0.6666666666666666,0.5663716814159292,0.5433153846924881
81,20150410,ANA,KCA,2,4,4,33,7,35,9,0.0,0.5,0.45248868778280543,0.47055216757468726
82,20150411,ANA,KCA,4,6,5,32,6,36,12,0.0,0.4,0.4041237113402062,0.44050084119703226
83,20150412,ANA,KCA,2,9,6,30,5,41,14,0.0,0.3333333333333333,0.27467811158798283,0.35609163326100396
3,20150413,ANA,TEX,6,3,7,38,12,33,7,1.0,0.42857142857142855,0.3652830188679245,0.418695703053563
4,20150414,ANA,TEX,2,8,8,32,7,33,11,0.0,0.375,0.2961439588688946,0.3766959345906389
5,20150415,ANA,TEX,10,2,9,39,13,33,6,1.0,0.4444444444444444,0.43182667164736643,0.46067205033453523
6,20150417,ANA,HOU,6,3,10,31,6,34,8,1.0,0.5,0.4756242568370987,0.4863244613630522
7,20150418,ANA,HOU,0,4,11,30,3,28,4,0.0,0.45454545454545453,0.43057050592034446,0.46237304806997837
8,20150419,ANA,HOU,3,4,12,34,8,31,6,0.0,0.4166666666666667,0.4251552080938147,0.4604249623457446
84,20150420,ANA,OAK,3,6,13,32,5,32,8,0.0,0.38461538461538464,0.4028941355674029,0.4493593999262639
85,20150421,ANA,OAK,14,1,14,39,15,32,5,1.0,0.42857142857142855,0.5256241787122208,0.5132247451210051
86,20150422,ANA,OAK,2,9,15,31,4,41,18,0.0,0.4,0.468780487804878,0.48408308366996616
87,20150423,ANA,OAK,2,0,16,25,1,35,8,1.0,0.4375,0.4846190250828206,0.49240664683711294
88,20150424,ANA,TEX,3,2,17,30,8,27,3,1.0,0.47058823529411764,0.4925929990123999,0.4964269743212889
89,20150425,ANA,TEX,4,1,18,29,8,34,8,1.0,0.5,0.514282799428688,0.506744411054272
90,20150426,ANA,TEX,4,5,19,46,15,42,9,0.0,0.47368421052631576,0.5067111071074678,0.5031295850657549
9,20150428,ANA,OAK,2,6,20,30,6,31,7,0.0,0.45,0.48089869413577746,0.4912108677880362
10,20150429,ANA,OAK,6,3,21,33,8,35,8,1.0,0.47619047619047616,0.5,0.5
11,20150430,ANA,OAK,6,5,22,36,12,34,9,1.0,0.5,0.5056495371848069,0.5025495899146143
12,20150501,ANA,SFN,2,3,23,34,7,31,6,0.0,0.4782608695652174,0.5,0.5
13,20150502,ANA,SFN,4,5,24,31,6,33,11,0.0,0.4583333333333333,0.49476454141768544,0.497700357536778
14,20150503,ANA,SFN,0,5,25,30,3,33,10,0.0,0.44,0.4694164152709872,0.48676065990913986
91,20150504,ANA,SEA,2,3,26,32,8,31,4,0.0,0.4230769230769231,0.46521631644004946,0.4851599894559637
92,20150505,ANA,SEA,5,4,27,31,8,35,9,1.0,0.4444444444444444,0.47145187601957583,0.4879309635148425
93,20150506,ANA,SEA,4,3,28,31,7,34,9,1.0,0.4642857142857143,0.4769707517935221,0.4903745628275402
94,20150507,ANA,HOU,2,3,29,30,7,33,6,0.0,0.4482758620689655,0.472992700729927,0.4888581054290836
95,20150508,ANA,HOU,2,0,30,28,7,32,6,1.0,0.4666666666666667,0.48214854956965253,0.49275964315621795
96,20150509,ANA,HOU,5,6,31,36,10,32,6,0.0,0.45161290322580644,0.47873303167420816,0.49141405235675656
97,20150510,ANA,HOU,3,1,32,28,6,28,1,1.0,0.46875,0.48744967617713986,0.4950007373084646
98,20150512,ANA,COL,5,2,33,34,10,29,5,1.0,0.48484848484848486,0.5,0.5
99,20150513,ANA,COL,2,1,34,35,8,42,10,1.0,0.5,0.5040159994838876,0.5015638475693278
15,20150515,ANA,BAL,3,1,35,30,7,32,5,1.0,0.5142857142857142,0.5118560404886126,0.5045631409932839
16,20150516,ANA,BAL,6,1,36,39,13,30,3,1.0,0.5277777777777778,0.5307401276897612,0.5117463810707384
17,20150517,ANA,BAL,0,3,37,32,6,30,7,0.0,0.5135135135135135,0.5190045379657195,0.5071689895894904
18,20150518,ANA,TOR,6,10,38,39,12,38,17,0.0,0.5,0.5035841833457516,0.5013539953718713
19,20150519,ANA,TOR,3,2,39,32,6,29,4,1.0,0.5128205128205128,0.5070419042896107,0.5026348508237003
20,20150520,ANA,TOR,4,3,40,35,8,31,5,1.0,0.525,0.510308182784272,0.5038289339886425
21,20150521,ANA,TOR,4,8,41,31,5,33,10,0.0,0.5121951219512195,0.4966997059143884,0.498777197785059
22,20150522,ANA,BOS,12,5,42,38,12,36,11,1.0,0.5238095238095238,0.5187434105197392,0.5069612907656642
23,20150523,ANA,BOS,3,8,43,33,6,35,12,0.0,0.5116279069767442,0.5030211204614738,0.5011175127499604
24,20150524,ANA,BOS,1,6,44,30,4,32,12,0.0,0.5,0.4881673376509715,0.4956531523264424
100,20150525,ANA,SDN,4,3,45,36,12,34,9,1.0,0.5111111111111111,0.49130500529260546,0.4968279247315519
101,20150526,ANA,SDN,0,4,46,34,5,37,9,0.0,0.5,0.47995075913007795,0.4927497438990483
102,20150527,ANA,SDN,4,5,47,34,11,35,8,0.0,0.48936170212765956,0.47766478460242695,0.4919617119012813
103,20150528,ANA,DET,12,2,48,34,13,31,5,1.0,0.5,0.5053761886868804,0.5019319594452691
104,20150529,ANA,DET,2,0,49,30,7,30,4,1.0,0.5102040816326531,0.5106939639150202,0.5038043955472541
105,20150530,ANA,DET,8,6,50,33,9,37,13,1.0,0.52,0.5154602204808075,0.5054956610973919
106,20150531,ANA,DET,4,2,51,32,8,29,5,1.0,0.5294117647058824,0.520296200901481,0.5071668966490727
107,20150601,ANA,TBA,7,3,52,34,11,32,6,1.0,0.5384615384615384,0.5296767874632713,0.5104448305218283
108,20150602,ANA,TBA,1,6,53,33,6,32,6,0.0,0.5283018867924528,0.5170266911286027,0.5059532171613065
109,20150603,ANA,TBA,5,6,54,34,11,37,8,0.0,0.5185185185185185,0.5142151358634628,0.5049545365546975
25,20150605,ANA,NYA,7,8,55,37,9,37,14,0.0,0.509090909090909,0.5114401499523545,0.5039853645382278
26,20150606,ANA,NYA,2,8,56,30,5,35,11,0.0,0.5,0.49776287473099445,0.4992236980495588
27,20150607,ANA,NYA,2,6,57,30,5,30,7,0.0,0.49122807017543857,0.4890123158657329,0.49620560342896136
28,20150609,ANA,TBA,8,2,58,44,15,32,6,1.0,0.5,0.5021505276886221,0.5007398329144475
29,20150610,ANA,TBA,2,4,59,32,7,32,9,0.0,0.4915254237288136,0.4978768673199845,0.49927399749789847
30,20150611,ANA,TBA,6,2,60,38,14,31,5,1.0,0.5,0.5062628023534539,0.5021315308513228
110,20150612,ANA,OAK,5,4,61,30,9,37,10,1.0,0.5081967213114754,0.5081961706415855,0.5027783147875002
111,20150613,ANA,OAK,1,0,62,30,8,28,2,1.0,0.5161290322580645,0.5102238799729035,0.5034358923456864
112,20150614,ANA,OAK,1,8,63,34,5,42,12,0.0,0.5079365079365079,0.4959840005161124,0.4986557254220014
113,20150615,ANA,ARI,3,7,64,29,4,35,11,0.0,0.5,0.488190623789229,0.4960593537118402
114,20150616,ANA,ARI,4,1,65,32,8,31,5,1.0,0.5076923076923077,0.4941522467683469,0.49806062980684823
31,20150617,ANA,ARI,2,3,66,36,11,32,10,0.0,0.5,0.49227845270924947,0.4974542204859431
32,20150618,ANA,ARI,7,1,67,31,8,34,8,1.0,0.5074626865671642,0.5038022263987277,0.5012483042164522
33,20150619,ANA,OAK,12,7,68,38,12,37,11,1.0,0.5147058823529411,0.5128419181752695,0.5042242221585853
34,20150620,ANA,OAK,1,4,69,31,5,35,11,0.0,0.5072463768115942,0.5072723426198945,0.5023782557870313
35,20150621,ANA,OAK,2,3,70,34,8,31,8,0.0,0.5,0.5054052474726816,0.5017577379446545
115,20150622,ANA,HOU,4,3,71,31,7,32,5,1.0,0.5070422535211268,0.5071170771860951,0.5023041051694734
116,20150623,ANA,HOU,3,13,72,37,11,43,16,0.0,0.5,0.48962049563031246,0.4966391952143913
117,20150624,ANA,HOU,2,1,73,45,9,43,7,1.0,0.5068493150684932,0.4913947853287755,0.4972315215065752
118,20150626,ANA,SEA,1,3,74,33,9,32,9,0.0,0.5,0.48803590106172245,0.4961727953885631
119,20150627,ANA,SEA,4,2,75,29,6,34,8,1.0,0.5066666666666667,0.4915403686166284,0.4973068296665219
120,20150628,ANA,SEA,3,2,76,32,7,34,5,1.0,0.5131578947368421,0.4932888928925322,0.497874492768886
121,20150629,ANA,NYA,4,1,77,30,6,32,8,1.0,0.5194805194805194,0.4983361110957304,0.4994757066285111
122,20150630,ANA,NYA,2,1,78,31,9,28,2,1.0,0.5256410256410257,0.5,0.5
123,20150701,ANA,NYA,1,3,79,31,6,36,12,0.0,0.5189873417721519,0.4967105619096054,0.4989751329902624
36,20150703,ANA,TEX,8,2,80,41,15,34,7,1.0,0.525,0.5064722207676599,0.5020115578026746
37,20150704,ANA,TEX,13,0,81,40,17,33,5,1.0,0.5308641975308642,0.5269218220604843,0.5083648548987105
38,20150705,ANA,TEX,12,6,82,39,15,37,11,1.0,0.5365853658536586,0.5353946838024328,0.5110162711674191
39,20150707,ANA,COL,10,2,83,36,11,35,9,1.0,0.5421686746987951,0.5467957120868179,0.514557139925171
40,20150708,ANA,COL,3,2,84,34,9,38,13,1.0,0.5476190476190477,0.5479373790993747,0.5148447868304131
41,20150709,ANA,SEA,2,7,85,34,8,37,19,0.0,0.5411764705882353,0.5399361022364217,0.5123206993597346
42,20150710,ANA,SEA,7,3,86,41,14,35,9,1.0,0.5465116279069767,0.545162978055493,0.5139066195773306
43,20150711,ANA,SEA,0,5,87,31,4,31,9,0.0,0.5402298850574713,0.5376277329395774,0.511525499134412
44,20150712,ANA,SEA,10,3,88,41,14,35,9,1.0,0.5454545454545454,0.5468384689621197,0.5143436297652204
124,20150717,ANA,BOS,1,0,89,28,2,31,5,1.0,0.550561797752809,0.5481830698992697,0.5146688492366485
125,20150718,ANA,BOS,3,0,90,29,5,29,2,1.0,0.5555555555555556,0.5521908630575917,0.5158150612264341
