index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
80,20210401,ANA,CHA,4,3,1,30,6,33,7,1.0,1.0,0.64,0.6231336111945953
81,20210402,ANA,CHA,8,12,2,35,8,40,13,0.0,0.5,0.3902439024390244,0.3967011143046406
82,20210403,ANA,CHA,5,3,3,33,9,35,9,1.0,0.6666666666666666,0.47145187601957583,0.4763128352322628
83,20210404,ANA,CHA,7,4,4,33,10,33,5,1.0,0.75,0.5433962264150943,0.5336566058755772
84,20210405,ANA,HOU,7,6,5,34,10,39,11,1.0,0.8,0.5507163323782235,0.5376260374885836
85,20210406,ANA,HOU,2,4,6,32,7,34,7,0.0,0.6666666666666666,0.5153809749171794,0.5106378673169224
0,20210408,ANA,TOR,7,5,7,43,11,39,7,1.0,0.7142857142857143,0.5389019872010778,0.5260325088057094
1,20210409,ANA,TOR,7,1,8,36,9,32,5,1.0,0.75,0.6047084588009854,0.5675838356294146
2,20210410,ANA,TOR,1,15,9,31,6,39,14,0.0,0.6666666666666666,0.4506160766673186,0.4687983655908291
3,20210412,ANA,KCA,10,3,10,39,14,34,7,1.0,0.7,0.5175384615384615,0.5108123377173699
4,20210413,ANA,KCA,2,3,11,37,12,28,5,0.0,0.6363636363636364,0.5084027679706257,0.5049761308890696
5,20210414,ANA,KCA,1,6,12,34,6,33,11,0.0,0.5833333333333334,0.46828593002768687,0.48178670982189636
86,20210416,ANA,MIN,10,3,13,35,12,33,10,1.0,0.6153846153846154,0.5215726849456803,0.5121859183410693
87,20210419,ANA,TEX,4,6,14,34,9,35,8,0.0,0.5714285714285714,0.5067111071074678,0.5037102691501028
88,20210420,ANA,TEX,6,2,15,30,8,30,5,1.0,0.6,0.531814865850693,0.517199429601357
89,20210421,ANA,TEX,4,7,16,36,10,31,6,0.0,0.5625,0.5119030749610316,0.5063244996033553
6,20210422,ANA,HOU,2,8,17,35,8,38,13,0.0,0.5294117647058824,0.4775394321766562,0.488265422488149
7,20210423,ANA,HOU,4,5,18,41,13,36,8,0.0,0.5,0.47328113390867005,0.48628355373560717
8,20210424,ANA,HOU,2,16,19,30,5,42,18,0.0,0.47368421052631576,0.4081064502430048,0.45264287929614666
9,20210425,ANA,HOU,4,2,20,34,7,29,4,1.0,0.5,0.4199509038161125,0.459660916374283
10,20210426,ANA,TEX,9,4,21,43,16,32,6,1.0,0.5238095238095238,0.4465818759936407,0.47344935639260755
11,20210427,ANA,TEX,1,6,22,36,10,31,9,0.0,0.5,0.42680335507921713,0.46414845050351733
12,20210428,ANA,TEX,4,3,23,33,7,33,8,1.0,0.5217391304347826,0.4330755711775044,0.467781664992535
13,20210430,ANA,SEA,4,7,24,32,6,35,10,0.0,0.5,0.42413649337737724,0.46382693750465154
14,20210501,ANA,SEA,10,5,25,38,13,35,7,1.0,0.52,0.44711841126309165,0.4750178543984926
15,20210502,ANA,SEA,0,2,26,30,5,27,5,0.0,0.5,0.44006646763927226,0.47222056730157985
90,20210503,ANA,TBA,3,7,27,29,6,36,9,0.0,0.48148148148148145,0.4279147513581279,0.46688556221044
91,20210504,ANA,TBA,3,8,28,32,6,37,10,0.0,0.4642857142857143,0.413547967322939,0.4605550033890799
92,20210505,ANA,TBA,1,3,29,30,7,30,4,0.0,0.4482758620689655,0.40800842992623815,0.4586391917700534
93,20210506,ANA,TBA,3,8,30,32,7,39,12,0.0,0.43333333333333335,0.3952162033222015,0.45315387040809335
94,20210507,ANA,LAN,9,2,31,36,13,34,8,1.0,0.45161290322580644,0.42063411566626774,0.4649894871032103
95,20210508,ANA,LAN,11,14,32,37,11,44,17,0.0,0.4375,0.4177243801509198,0.46353810074057505
96,20210509,ANA,LAN,2,1,33,29,6,31,4,1.0,0.45454545454545453,0.4213144175711478,0.46566369924577417
16,20210510,ANA,HOU,5,4,34,35,9,36,10,1.0,0.47058823529411764,0.4261219718126908,0.46808855084154544
17,20210511,ANA,HOU,1,5,35,28,3,32,8,0.0,0.45714285714285713,0.416324547933185,0.4642081275867608
18,20210512,ANA,HOU,1,9,36,32,6,36,12,0.0,0.4444444444444444,0.3972821270310192,0.45623674559586463
19,20210514,ANA,BOS,3,4,37,33,6,31,9,0.0,0.43243243243243246,0.3965730536793459,0.4563670967716959
20,20210515,ANA,BOS,0,9,38,29,4,35,12,0.0,0.42105263157894735,0.37629867501416736,0.4479658473545623
21,20210516,ANA,BOS,6,5,39,36,9,35,9,1.0,0.4358974358974359,0.3820934775115219,0.4508061284180433
97,20210517,ANA,CLE,7,4,40,34,10,36,11,1.0,0.45,0.3923658205774075,0.45549759717000093
98,20210518,ANA,CLE,5,6,41,33,7,34,8,0.0,0.43902439024390244,0.3928263988522238,0.45596958455264425
99,20210519,ANA,CLE,2,3,42,31,5,31,8,0.0,0.42857142857142855,0.3917744067758632,0.4559761258211601
100,20210520,ANA,MIN,7,1,43,27,10,23,4,1.0,0.4418604651162791,0.4073512858256126,0.46274424180914736
101,20210520,ANA,MIN,3,6,44,24,3,27,6,0.0,0.4318181818181818,0.4025454055119335,0.4610457856058197
102,20210521,ANA,OAK,4,8,45,33,7,37,13,0.0,0.4222222222222222,0.39645748491241845,0.4587585108642517
103,20210522,ANA,OAK,2,6,46,32,5,34,9,0.0,0.41304347826086957,0.38977536060534407,0.4563466545846781
104,20210523,ANA,OAK,6,5,47,29,9,34,9,1.0,0.425531914893617,0.3943681045846048,0.45843772305998265
105,20210525,ANA,TEX,11,5,48,35,12,33,5,1.0,0.4375,0.4098360655737705,0.4647304536857896
106,20210526,ANA,TEX,9,8,49,33,12,38,11,1.0,0.4489795918367347,0.4147992881154835,0.4667655787770133
22,20210527,ANA,OAK,0,5,50,29,2,31,10,0.0,0.44,0.4059843616938918,0.4635742736713641
23,20210528,ANA,OAK,1,3,51,30,6,25,5,0.0,0.43137254901960786,0.4028941355674029,0.46268687807804887
24,20210529,ANA,OAK,4,0,52,36,9,27,3,1.0,0.4423076923076923,0.41121691850160713,0.4662441551703156
25,20210530,ANA,OAK,4,2,53,35,8,31,4,1.0,0.4528301886792453,0.4159861347746901,0.4683261038767784
26,20210531,ANA,SFN,1,6,54,31,6,30,7,0.0,0.4444444444444444,0.40781779887909186,0.4654226197076534
27,20210601,ANA,SFN,8,1,55,34,8,32,6,1.0,0.45454545454545453,0.4221199750916765,0.47103250251247614
107,20210603,ANA,SEA,2,6,56,33,6,36,11,0.0,0.44642857142857145,0.4160414961147719,0.4689219700787172
108,20210604,ANA,SEA,3,2,57,26,7,31,6,1.0,0.45614035087719296,0.41857981847303793,0.4700993877335846
109,20210605,ANA,SEA,12,5,58,40,16,32,4,1.0,0.46551724137931033,0.43316345556246116,0.47554543823936646
110,20210606,ANA,SEA,5,9,59,34,7,36,10,0.0,0.4576271186440678,0.4279639464875031,0.473692086949545
111,20210607,ANA,KCA,8,3,60,31,9,34,9,1.0,0.4666666666666667,0.43763867103949805,0.4773547275593778
112,20210608,ANA,KCA,8,1,61,32,9,31,6,1.0,0.47540983606557374,0.45012468827930174,0.482009893297
113,20210609,ANA,KCA,6,1,62,31,9,32,5,1.0,0.4838709677419355,0.45888358432184334,0.48527060189100163
28,20210611,ANA,ARI,6,5,63,38,9,41,10,1.0,0.49206349206349204,0.4612235294117647,0.4861667155659226
29,20210612,ANA,ARI,8,7,64,37,12,36,10,1.0,0.5,0.4637129939334726,0.4870846128082095
30,20210613,ANA,ARI,10,3,65,39,13,34,8,1.0,0.5076923076923077,0.4752473824873315,0.49122355192547557
