index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20200724,ANA,OAK,3,7,1,36,7,33,7,0.0,0.0,0.15517241379310345,0.1623662744329075
1,20200725,ANA,OAK,4,1,2,32,6,32,6,1.0,0.5,0.4336283185840708,0.447215482646009
2,20200726,ANA,OAK,4,6,3,35,9,28,7,0.0,0.3333333333333333,0.38170347003154576,0.41017655550549453
3,20200727,ANA,OAK,0,3,4,35,9,29,6,0.0,0.25,0.2951219512195122,0.35778749228511875
29,20200728,ANA,SEA,10,2,5,33,11,34,7,1.0,0.4,0.5498753117206983,0.5331069703676976
30,20200729,ANA,SEA,7,10,6,35,8,37,13,0.0,0.3333333333333333,0.48246153846153844,0.48831792973851496
31,20200730,ANA,SEA,5,8,7,32,5,35,10,0.0,0.2857142857142857,0.44304312449145644,0.46286242381376325
32,20200731,ANA,HOU,6,9,8,33,8,37,11,0.0,0.25,0.41820181468243056,0.44738525558399034
33,20200801,ANA,HOU,5,4,9,36,9,40,11,1.0,0.3333333333333333,0.436429215509468,0.46059978351814246
34,20200802,ANA,HOU,5,6,10,39,6,41,11,0.0,0.3,0.4336283185840708,0.45989609131551357
4,20200804,ANA,SEA,5,3,11,32,6,32,6,1.0,0.36363636363636365,0.45583867437861497,0.474190270196902
5,20200805,ANA,SEA,6,7,12,32,5,35,12,0.0,0.3333333333333333,0.45248868778280543,0.4726837014550777
6,20200806,ANA,SEA,6,1,13,33,7,31,4,1.0,0.38461538461538464,0.4924816280384398,0.49580804209397916
7,20200807,ANA,TEX,3,4,14,34,7,27,5,0.0,0.35714285714285715,0.48571720057131196,0.4922424590447361
8,20200808,ANA,TEX,0,2,15,31,4,28,4,0.0,0.3333333333333333,0.4718533201189296,0.4852187305563383
9,20200809,ANA,TEX,3,7,16,32,6,35,10,0.0,0.3125,0.44751381215469616,0.47283226727419286
35,20200810,ANA,OAK,10,9,17,35,14,35,9,1.0,0.35294117647058826,0.45913280983270743,0.4788690326306959
36,20200811,ANA,OAK,6,0,18,36,12,31,5,1.0,0.3888888888888889,0.4943504628151931,0.49714704389753284
37,20200812,ANA,OAK,4,8,19,31,5,36,9,0.0,0.3684210526315789,0.4735634756336373,0.4867924955619706
38,20200814,ANA,LAN,4,7,20,32,6,36,9,0.0,0.35,0.46006389776357826,0.4802778133011863
39,20200815,ANA,LAN,5,6,21,38,8,39,11,0.0,0.3333333333333333,0.45742343392672974,0.4792195077408466
40,20200816,ANA,LAN,3,8,22,34,10,36,10,0.0,0.3181818181818182,0.4371867421180275,0.4696265285886863
41,20200817,ANA,SFN,7,6,23,35,12,35,10,1.0,0.34782608695652173,0.4448496227028198,0.47358563629274875
42,20200818,ANA,SFN,2,8,24,29,5,37,10,0.0,0.3333333333333333,0.42291259563474976,0.46340598459871823
10,20200819,ANA,SFN,2,7,25,33,6,33,10,0.0,0.32,0.40634793830271,0.4559652888305904
11,20200820,ANA,SFN,5,10,26,37,10,35,12,0.0,0.3076923076923077,0.3934318734460807,0.450032176237729
12,20200821,ANA,OAK,3,5,27,37,11,32,8,0.0,0.2962962962962963,0.3894709743853778,0.4487845868317115
13,20200822,ANA,OAK,4,3,28,36,8,32,6,1.0,0.32142857142857145,0.39553190445828634,0.45229886446474765
14,20200823,ANA,OAK,4,5,29,39,9,37,9,0.0,0.3103448275862069,0.3953691970971086,0.4527351314153844
15,20200824,ANA,HOU,4,11,30,34,7,34,11,0.0,0.3,0.37847323171491465,0.44513141802494366
16,20200825,ANA,HOU,3,6,31,25,4,24,6,0.0,0.2903225806451613,0.3727904472937261,0.4430561976240778
17,20200825,ANA,HOU,12,5,32,32,12,26,7,1.0,0.3125,0.3992476400028391,0.45533478448037507
43,20200828,ANA,SEA,3,2,33,29,8,32,6,1.0,0.3333333333333333,0.40356865787432117,0.4578454448102975
44,20200829,ANA,SEA,16,3,34,35,13,31,7,1.0,0.35294117647058826,0.4443078933449488,0.475850429791577
45,20200830,ANA,SEA,1,2,35,33,5,35,8,0.0,0.34285714285714286,0.44202444135146296,0.4752023762078679
