,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20160404,ANA,CHN,0,9,9,0,1,1,29,37,3,11,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,1.0,1.0
1,20160405,ANA,CHN,1,6,6,1,2,2,32,36,4,9,0.0,1.0,1.0,1.0,0.0044247787610619,0.995575221238938,0.0123912225187527,0.9876087774812472,0,9,9,0,0.0,4.5,4.5,0.0
2,20160407,ANA,TEX,4,3,3,4,3,4,36,29,11,4,1.0,0.0,1.0,0.25,0.0716332378223495,0.2128463476070529,0.1319637446042686,0.2770305943900875,1,10,15,21,0.3333333333333333,2.5,5.0,5.25
3,20160408,ANA,TEX,3,7,7,3,4,5,33,36,7,10,0.0,1.0,1.0,0.4,0.09288824383164,0.3378378378378378,0.1672696716459011,0.3846599290799148,5,13,18,25,1.25,2.6,4.5,5.0
4,20160409,ANA,TEX,1,4,4,1,5,6,29,36,5,10,0.0,1.0,1.0,0.5,0.0878524945770065,0.4064925899788285,0.178312962851125,0.4386025227458567,8,20,25,28,1.6,3.3333333333333335,5.0,4.666666666666667
5,20160410,ANA,TEX,3,1,1,3,6,7,26,33,7,7,1.0,0.0,1.0,0.4285714285714285,0.1379310344827586,0.3790175864160097,0.2463886179486233,0.424890736960705,9,24,29,29,1.5,3.4285714285714284,4.833333333333333,4.142857142857143
6,20160411,ANA,OAK,4,1,1,4,7,8,34,35,9,10,1.0,0.0,1.0,0.5,0.210353327855382,0.4566037735849056,0.3170421397685819,0.4766786604944449,12,21,30,20,1.7142857142857142,2.625,4.285714285714286,2.5
7,20160412,ANA,OAK,5,4,4,5,8,9,35,34,10,7,1.0,0.0,1.0,0.4444444444444444,0.2647058823529412,0.4456163480553724,0.3589584579626219,0.4711139564147438,16,22,31,24,2.0,2.4444444444444446,3.875,2.6666666666666665
8,20160413,ANA,OAK,5,1,1,5,9,10,38,31,11,3,1.0,0.0,1.0,0.4,0.3427991886409736,0.386737400530504,0.4117409778789017,0.4409082624206856,21,26,35,29,2.3333333333333335,2.6,3.888888888888889,2.9
9,20160415,ANA,MIN,4,5,5,4,10,10,32,32,9,8,0.0,1.0,1.0,0.1,0.3487020534676482,0.1840897501274859,0.4167506774372572,0.3187348422558497,26,14,36,36,2.6,1.4,3.6,3.6
10,20160416,ANA,MIN,4,6,6,4,11,11,34,33,9,10,0.0,1.0,1.0,0.1818181818181818,0.3435364041604755,0.2440452948067161,0.4149866331596457,0.3606435408256186,30,19,41,40,2.727272727272727,1.7272727272727273,3.727272727272727,3.6363636363636362
11,20160417,ANA,MIN,2,3,3,2,12,12,41,44,4,13,0.0,1.0,1.0,0.25,0.3414120126448893,0.2703448275862068,0.4163343402382417,0.3801308852142358,34,25,47,44,2.8333333333333335,2.0833333333333335,3.9166666666666665,3.6666666666666665
12,20160418,ANA,CHA,7,0,0,7,13,13,38,30,13,3,1.0,0.0,1.0,0.6153846153846154,0.4251552080938147,0.5,0.4621309411070251,0.5,36,39,50,32,2.769230769230769,3.0,3.8461538461538463,2.4615384615384617
13,20160419,ANA,CHA,0,5,5,0,14,14,29,32,3,9,0.0,1.0,1.0,0.6428571428571429,0.3793598686910135,0.5600231414521262,0.4399642038489247,0.5281593340242249,43,39,50,39,3.0714285714285716,2.7857142857142856,3.5714285714285716,2.7857142857142856
14,20160420,ANA,CHA,1,2,2,1,15,15,30,26,4,5,0.0,1.0,1.0,0.6666666666666666,0.3733847637415622,0.5694294940796556,0.438717853660762,0.5317118537965632,43,44,55,39,2.8666666666666667,2.933333333333333,3.6666666666666665,2.6
15,20160421,ANA,CHA,3,2,2,3,16,16,27,30,6,5,1.0,0.0,1.0,0.625,0.3882249560632689,0.5547796773416808,0.4472733074691742,0.5244854399910843,44,46,57,40,2.75,2.875,3.5625,2.5
16,20160422,ANA,SEA,2,5,5,2,17,16,34,34,6,10,0.0,1.0,1.0,0.5,0.3695551793135293,0.5490616621983915,0.439099776657779,0.5238364846153135,47,59,59,56,2.764705882352941,3.6875,3.4705882352941178,3.5
17,20160423,ANA,SEA,4,2,2,4,18,17,30,31,7,6,1.0,0.0,1.0,0.4705882352941176,0.3920446615491975,0.531219512195122,0.4507389100075242,0.5148455608818255,49,64,64,58,2.7222222222222223,3.764705882352941,3.5555555555555554,3.411764705882353
18,20160424,ANA,SEA,4,9,9,4,19,18,31,33,6,8,0.0,1.0,1.0,0.5,0.3661257606490872,0.563570784490532,0.438513300394685,0.5302003016592932,53,66,66,62,2.789473684210526,3.6666666666666665,3.473684210526316,3.4444444444444446
19,20160425,ANA,KCA,6,1,1,6,20,19,28,31,8,4,1.0,0.0,1.0,0.631578947368421,0.4072857875833761,0.5753252682036065,0.458434357985314,0.5341315075029435,57,70,75,55,2.85,3.6842105263157894,3.75,2.8947368421052633
20,20160426,ANA,KCA,9,4,4,9,21,20,36,33,14,9,1.0,0.0,1.0,0.6,0.4475138121546961,0.5344418052256532,0.4766581875862817,0.5155038893986092,63,71,76,61,3.0,3.55,3.619047619047619,3.05
21,20160427,ANA,KCA,4,2,2,4,22,21,28,35,5,10,1.0,0.0,1.0,0.5714285714285714,0.46208,0.5198597106532222,0.4834105260308757,0.5087929870142084,72,75,80,70,3.272727272727273,3.5714285714285716,3.6363636363636362,3.3333333333333335
22,20160429,ANA,TEX,2,4,4,2,23,23,34,29,10,8,0.0,1.0,1.0,0.5652173913043478,0.4513353115727003,0.5586206896551724,0.4789900776341779,0.5263086831666756,76,95,82,86,3.3043478260869565,4.130434782608695,3.5652173913043477,3.739130434782609
23,20160430,ANA,TEX,2,7,7,2,24,24,35,36,9,12,0.0,1.0,1.0,0.5833333333333334,0.4252774270715662,0.5810922631361192,0.4679022579430618,0.5361399110214974,78,99,86,88,3.25,4.125,3.5833333333333335,3.6666666666666665
24,20160501,ANA,TEX,9,6,6,9,25,25,38,38,15,13,1.0,0.0,1.0,0.56,0.4469585825527593,0.561378384426046,0.47726497422527,0.5272213858710482,80,106,93,90,3.2,4.24,3.72,3.6
25,20160502,ANA,MIL,5,8,8,5,26,25,37,34,11,14,0.0,1.0,1.0,0.4,0.4355928025634705,0.3631299734748011,0.472432496426583,0.4346525687015436,89,103,99,142,3.423076923076923,4.12,3.8076923076923075,5.68
26,20160503,ANA,MIL,4,5,5,4,27,26,32,30,9,7,0.0,1.0,1.0,0.4230769230769231,0.4336283185840708,0.3711283338389828,0.4718291465086225,0.4393549584038799,94,111,107,147,3.4814814814814814,4.269230769230769,3.962962962962963,5.653846153846154
27,20160504,ANA,MIL,7,3,3,7,28,27,36,34,12,9,1.0,0.0,1.0,0.4074074074074074,0.4546391752577319,0.3619424920127795,0.4809337888798484,0.4355418837076074,98,116,112,151,3.5,4.296296296296297,4.0,5.592592592592593
28,20160506,ANA,TBA,2,5,5,2,29,27,34,33,8,11,0.0,1.0,1.0,0.4814814814814814,0.4429184881426747,0.4645118122394359,0.4762333177078321,0.4852622719505173,105,90,115,100,3.6206896551724137,3.3333333333333335,3.9655172413793105,3.7037037037037037
