,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20170403,ANA,OAK,2,4,4,2,1,1,32,32,7,9,0.0,1.0,1.0,1.0,0.2,0.8,0.2388143791631121,0.7611856208368878,0,0,0,0,1.0,1.0,1.0,1.0
1,20170404,ANA,OAK,7,6,6,7,2,2,34,34,9,9,1.0,0.0,1.0,0.5,0.4475138121546961,0.5524861878453039,0.455380006067379,0.544619993932621,2,4,4,2,1.0,2.0,2.0,1.0
2,20170405,ANA,OAK,5,0,0,5,3,3,37,33,13,6,1.0,0.0,1.0,0.3333333333333333,0.6621621621621622,0.3378378378378378,0.6226679444608085,0.3773320555391915,9,10,10,9,3.0,3.3333333333333335,3.3333333333333335,3.0
3,20170406,ANA,OAK,1,5,5,1,4,4,32,28,5,5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,14,10,10,14,3.5,2.5,2.5,3.5
4,20170407,ANA,SEA,5,1,1,5,5,5,33,33,11,5,1.0,0.0,1.0,0.2,0.6097560975609756,0.2189189189189189,0.5712328938392612,0.3219670380970675,15,8,15,12,3.0,1.6,3.0,2.4
5,20170408,ANA,SEA,5,4,4,5,6,6,35,33,13,8,1.0,0.0,1.0,0.1666666666666666,0.6097560975609756,0.2588055130168453,0.56898280948947,0.3522502560198994,20,9,16,17,3.3333333333333335,1.5,2.6666666666666665,2.8333333333333335
6,20170409,ANA,SEA,10,9,9,10,7,7,34,33,11,7,1.0,0.0,1.0,0.1428571428571428,0.5929332042594385,0.3209549071618037,0.5593208779371407,0.3887862963836367,25,13,20,22,3.5714285714285716,1.8571428571428572,2.857142857142857,3.142857142857143
7,20170411,ANA,TEX,6,5,5,6,8,7,39,39,12,10,1.0,0.0,1.0,0.2857142857142857,0.5925273175890025,0.4870151770657673,0.5575213905774289,0.4913194240498477,35,33,29,33,4.375,4.714285714285714,3.625,4.714285714285714
8,20170412,ANA,TEX,3,8,8,3,9,8,32,37,6,11,0.0,1.0,1.0,0.375,0.5232432432432432,0.545360824742268,0.5140021702972858,0.5293598953468343,41,38,34,39,4.555555555555555,4.75,3.7777777777777777,4.875
9,20170413,ANA,TEX,3,8,8,3,10,9,33,37,7,11,0.0,1.0,1.0,0.4444444444444444,0.4691017201104268,0.5901639344262295,0.4818035944254959,0.5569072347728112,44,46,42,42,4.4,5.111111111111111,4.2,4.666666666666667
