,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20200724,ANA,OAK,3,7,7,3,1,1,36,33,7,7,0.0,1.0,1.0,1.0,0.1551724137931034,0.8448275862068966,0.1623662744329075,0.8376337255670926,0,0,0,0,1.0,1.0,1.0,1.0
1,20200725,ANA,OAK,4,1,1,4,2,2,32,32,6,6,1.0,0.0,1.0,0.5,0.4336283185840708,0.5663716814159292,0.447215482646009,0.552784517353991,3,7,7,3,1.5,3.5,3.5,1.5
2,20200726,ANA,OAK,4,6,6,4,3,3,35,28,9,7,0.0,1.0,1.0,0.6666666666666666,0.3817034700315457,0.6182965299684543,0.4101765555054945,0.5898234444945054,7,8,8,7,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.3333333333333335
3,20200727,ANA,OAK,0,3,3,0,4,4,35,29,9,6,0.0,1.0,1.0,0.75,0.2951219512195122,0.7048780487804878,0.3577874922851187,0.6422125077148811,11,14,14,11,2.75,3.5,3.5,2.75
4,20200728,ANA,SEA,10,2,2,10,5,5,33,34,11,7,1.0,0.0,1.0,0.2,0.5498753117206983,0.1756097560975609,0.5331069703676976,0.243389524847857,11,16,17,29,2.2,3.2,3.4,5.8
5,20200729,ANA,SEA,7,10,10,7,6,6,35,37,8,13,0.0,1.0,1.0,0.3333333333333333,0.4824615384615384,0.2703448275862068,0.4883179297385149,0.3290206810117481,21,18,19,39,3.5,3.0,3.1666666666666665,6.5
6,20200730,ANA,SEA,5,8,8,5,7,7,32,35,5,10,0.0,1.0,1.0,0.4285714285714285,0.4430431244914564,0.3325635103926097,0.4628624238137632,0.3817216806573091,28,28,29,46,4.0,4.0,4.142857142857143,6.571428571428571
7,20200731,ANA,HOU,6,9,9,6,8,7,33,37,8,11,0.0,1.0,1.0,0.5714285714285714,0.4182018146824305,0.6473394495412844,0.4473852555839903,0.5986431811825953,33,33,37,25,4.125,4.714285714285714,4.625,3.5714285714285716
8,20200801,ANA,HOU,5,4,4,5,9,8,36,40,9,11,1.0,0.0,1.0,0.5,0.436429215509468,0.6201641266119577,0.4605997835181424,0.5769946081330533,39,42,46,31,4.333333333333333,5.25,5.111111111111111,3.875
9,20200802,ANA,HOU,5,6,6,5,10,9,39,41,6,11,0.0,1.0,1.0,0.5555555555555556,0.4336283185840708,0.6166476624857469,0.4598960913155135,0.5726631572530094,44,46,50,36,4.4,5.111111111111111,5.0,4.0
10,20200804,ANA,SEA,5,3,3,5,11,12,32,32,6,6,1.0,0.0,1.0,0.3333333333333333,0.4558386743786149,0.2936284700990583,0.474190270196902,0.3769466973289505,49,46,56,71,4.454545454545454,3.8333333333333335,5.090909090909091,5.916666666666667
11,20200805,ANA,SEA,6,7,7,6,12,13,32,35,5,12,0.0,1.0,1.0,0.3846153846153846,0.4524886877828054,0.318052738336714,0.4726837014550777,0.3941793486380235,54,49,59,76,4.5,3.769230769230769,4.916666666666667,5.846153846153846
12,20200806,ANA,SEA,6,1,1,6,13,14,33,31,7,4,1.0,0.0,1.0,0.3571428571428571,0.4924816280384398,0.2955517147275538,0.4958080420939791,0.3830935214695812,60,56,66,82,4.615384615384615,4.0,5.076923076923077,5.857142857142857
13,20200807,ANA,TEX,3,4,4,3,14,12,34,27,7,5,0.0,1.0,1.0,0.3333333333333333,0.4857172005713119,0.3299649412249948,0.4922424590447361,0.4068412402830655,66,36,67,54,4.714285714285714,3.0,4.785714285714286,4.5
14,20200808,ANA,TEX,0,2,2,0,15,13,31,28,4,4,0.0,1.0,1.0,0.3846153846153846,0.4718533201189296,0.3518850987432675,0.4852187305563383,0.4224176223497609,69,40,71,57,4.6,3.076923076923077,4.733333333333333,4.384615384615385
15,20200809,ANA,TEX,3,7,7,3,16,14,32,35,6,10,0.0,1.0,1.0,0.4285714285714285,0.4475138121546961,0.4000999833361106,0.4728322672741928,0.4490006991858886,69,42,73,57,4.3125,3.0,4.5625,4.071428571428571
16,20200810,ANA,OAK,10,9,9,10,17,17,35,35,14,9,1.0,0.0,1.0,0.7058823529411765,0.4591328098327074,0.6554690700532568,0.4788690326306959,0.5774221447377689,72,71,80,48,4.235294117647059,4.176470588235294,4.705882352941177,2.823529411764706
17,20200811,ANA,OAK,6,0,0,6,18,18,36,31,12,5,1.0,0.0,1.0,0.6666666666666666,0.4943504628151931,0.6097560975609756,0.4971470438975328,0.5529024746637383,82,80,89,58,4.555555555555555,4.444444444444445,4.944444444444445,3.2222222222222223
18,20200812,ANA,OAK,4,8,8,4,19,19,31,36,5,9,0.0,1.0,1.0,0.6842105263157895,0.4735634756336373,0.6261319534282018,0.4867924955619706,0.5606115566729502,88,80,89,64,4.631578947368421,4.2105263157894735,4.684210526315789,3.3684210526315788
19,20200814,ANA,LAN,4,7,7,4,20,21,32,36,6,9,0.0,1.0,1.0,0.6666666666666666,0.4600638977635782,0.7830802603036876,0.4802778133011863,0.6437599844147779,92,107,97,56,4.6,5.095238095238095,4.85,2.6666666666666665
20,20200815,ANA,LAN,5,6,6,5,21,22,38,39,8,11,0.0,1.0,1.0,0.6818181818181818,0.4574234339267297,0.7731543624161074,0.4792195077408466,0.6365507759938567,96,114,104,60,4.571428571428571,5.181818181818182,4.9523809523809526,2.727272727272727
