,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20180329,ANA,OAK,5,6,6,5,1,1,46,42,13,12,0.0,1.0,1.0,1.0,0.4098360655737705,0.5901639344262295,0.410271738226948,0.589728261773052,0,0,0,0,1.0,1.0,1.0,1.0
1,20180330,ANA,OAK,2,1,1,2,2,2,32,33,6,7,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,5,6,6,5,2.5,3.0,3.0,2.5
2,20180331,ANA,OAK,8,3,3,8,3,3,41,34,12,8,1.0,0.0,1.0,0.3333333333333333,0.6923076923076923,0.3076923076923077,0.6481020496141229,0.3518979503858772,7,7,7,7,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
3,20180401,ANA,OAK,7,4,4,7,4,4,37,31,13,5,1.0,0.0,1.0,0.25,0.711764705882353,0.288235294117647,0.6576421105969492,0.3423578894030508,15,10,10,15,3.75,2.5,2.5,3.75
4,20180402,ANA,CLE,0,6,6,0,5,4,33,34,6,7,0.0,1.0,1.0,0.5,0.5475113122171946,0.6674364896073903,0.5319757354961242,0.6160443534308102,22,11,14,12,4.4,2.75,2.8,3.0
5,20180403,ANA,CLE,13,2,2,13,6,5,36,29,13,1,1.0,0.0,1.0,0.4,0.716793446459918,0.3661257606490872,0.6498524907289951,0.4076364594526703,22,17,20,12,3.6666666666666665,3.4,3.3333333333333335,2.4
6,20180404,ANA,CLE,3,2,2,3,7,6,41,45,6,7,1.0,0.0,1.0,0.3333333333333333,0.7148514851485148,0.36,0.6404448510290678,0.4092955264665892,35,19,22,25,5.0,3.1666666666666665,3.142857142857143,4.166666666666667
7,20180406,ANA,OAK,13,9,9,13,8,9,38,37,14,13,1.0,0.0,1.0,0.3333333333333333,0.7048780487804878,0.36,0.6353312879294875,0.4148092113266065,38,27,24,35,4.75,3.0,3.0,3.888888888888889
8,20180407,ANA,OAK,3,7,7,3,9,10,33,31,7,7,0.0,1.0,1.0,0.4,0.645704162976085,0.4155056179775281,0.5916416742086669,0.4504141547298846,51,36,33,48,5.666666666666667,3.6,3.6666666666666665,4.8
9,20180408,ANA,OAK,6,1,1,6,10,11,30,29,7,3,1.0,0.0,1.0,0.3636363636363636,0.6816890740390078,0.3733847637415622,0.6114324775438869,0.4273963957894046,54,43,40,51,5.4,3.909090909090909,4.0,4.636363636363637
10,20180409,ANA,TEX,8,3,3,8,11,12,40,35,13,8,1.0,0.0,1.0,0.3333333333333333,0.7048780487804878,0.3256489732661759,0.6240249649373556,0.4035086236964236,60,38,41,51,5.454545454545454,3.1666666666666665,3.727272727272727,4.25
11,20180410,ANA,TEX,11,1,1,11,12,13,41,35,18,7,1.0,0.0,1.0,0.3076923076923077,0.7550205661746915,0.2647058823529412,0.6554021089278484,0.36767773876375,68,41,44,59,5.666666666666667,3.1538461538461537,3.6666666666666665,4.538461538461538
12,20180411,ANA,TEX,7,2,2,7,13,14,34,32,9,5,1.0,0.0,1.0,0.2857142857142857,0.7700156168662156,0.2461538461538461,0.6623361844047112,0.3582736075340679,79,42,45,70,6.076923076923077,3.0,3.4615384615384617,5.0
13,20180412,ANA,KCA,7,1,1,7,14,11,42,34,15,9,1.0,0.0,1.0,0.2727272727272727,0.7896466721446179,0.298978102189781,0.6725614806822713,0.3889142184996257,86,31,47,42,6.142857142857143,2.8181818181818183,3.357142857142857,3.8181818181818183
14,20180413,ANA,KCA,5,4,4,5,15,12,38,35,13,11,1.0,0.0,1.0,0.25,0.780305492362691,0.3076923076923077,0.6627641357208891,0.3959272336947815,93,32,48,49,6.2,2.6666666666666665,3.2,4.083333333333333
15,20180414,ANA,KCA,5,3,3,5,16,13,36,32,9,6,1.0,0.0,1.0,0.2307692307692307,0.7781282088895408,0.304078368652539,0.6581326592461945,0.3958290057660658,98,36,52,54,6.125,2.769230769230769,3.25,4.153846153846154
16,20180417,ANA,BOS,1,10,10,1,17,16,30,38,4,15,0.0,1.0,1.0,0.875,0.7191011235955056,0.8096654275092937,0.6186007441572003,0.6770527100730849,103,89,55,47,6.0588235294117645,5.5625,3.235294117647059,2.9375
17,20180418,ANA,BOS,0,9,9,0,18,17,33,41,6,14,0.0,1.0,1.0,0.8823529411764706,0.6638841149030199,0.8350515463917526,0.585226682088982,0.6932722300778053,104,99,65,48,5.777777777777778,5.823529411764706,3.611111111111111,2.823529411764706
18,20180419,ANA,BOS,2,8,8,2,19,18,32,37,4,14,0.0,1.0,1.0,0.8888888888888888,0.6256124721603563,0.8433191276009024,0.5636383264466172,0.6972908229317794,104,108,74,48,5.473684210526316,6.0,3.8947368421052633,2.6666666666666665
19,20180420,ANA,SFN,1,8,8,1,20,19,31,36,5,9,0.0,1.0,1.0,0.4210526315789473,0.5856565553225229,0.4223489444309634,0.5423668773628401,0.4651095535361544,106,51,82,68,5.3,2.6842105263157894,4.1,3.5789473684210527
20,20180421,ANA,SFN,4,3,3,4,21,20,29,34,6,7,1.0,0.0,1.0,0.4,0.5875536480686695,0.4190559249972746,0.5425791809989566,0.4640934700798775,107,59,90,69,5.095238095238095,2.95,4.285714285714286,3.45
21,20180422,ANA,SFN,2,4,4,2,22,21,32,39,6,13,0.0,1.0,1.0,0.4285714285714285,0.5757507439805213,0.436429215509468,0.5361191374057476,0.4722917985324245,111,62,93,73,5.045454545454546,2.9523809523809526,4.2272727272727275,3.4761904761904763
22,20180423,ANA,HOU,2,0,0,2,23,24,30,32,4,7,1.0,0.0,1.0,0.6666666666666666,0.5842979588230096,0.7916317490721896,0.5393705090408321,0.6389485427647311,113,115,97,57,4.913043478260869,4.791666666666667,4.217391304347826,2.375
23,20180424,ANA,HOU,8,7,7,8,24,25,33,38,8,14,1.0,0.0,1.0,0.64,0.5831181345153209,0.7682857585299128,0.5386450268426838,0.6255043686313552,115,115,97,59,4.791666666666667,4.6,4.041666666666667,2.36
24,20180425,ANA,HOU,2,5,5,2,25,26,31,28,4,5,0.0,1.0,1.0,0.6538461538461539,0.5680578782811023,0.7720919100047869,0.5311203876486313,0.6262430677599686,123,122,104,67,4.92,4.6923076923076925,4.16,2.576923076923077
25,20180427,ANA,NYA,3,4,4,3,26,25,34,34,6,7,0.0,1.0,1.0,0.64,0.5620004802250197,0.6338742393509128,0.5279440233445283,0.5642780129437186,125,146,109,111,4.8076923076923075,5.84,4.1923076923076925,4.44
26,20180428,ANA,NYA,1,11,11,1,27,26,33,43,7,14,0.0,1.0,1.0,0.6538461538461539,0.5197551300871412,0.6621621621621622,0.5088061599549,0.5778714299142335,128,150,113,114,4.7407407407407405,5.769230769230769,4.185185185185185,4.384615384615385
27,20180429,ANA,NYA,1,2,2,1,28,27,34,31,6,4,0.0,1.0,1.0,0.6666666666666666,0.5156211862338296,0.6638101186758276,0.5068440968911291,0.577316747264609,129,161,124,115,4.607142857142857,5.962962962962963,4.428571428571429,4.2592592592592595
