,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20100405,ANA,MIN,6,3,3,6,1,1,33,32,9,7,1.0,0.0,1.0,0.0,0.8,0.2,0.7862127531756472,0.2137872468243528,0,0,0,0,1.0,1.0,1.0,1.0
1,20100406,ANA,MIN,3,5,5,3,2,2,33,32,8,9,0.0,1.0,1.0,0.5,0.5586206896551724,0.4413793103448276,0.5482916326681918,0.4517083673318082,6,3,3,6,3.0,1.5,1.5,3.0
2,20100407,ANA,MIN,2,4,4,2,3,3,35,34,9,7,0.0,1.0,1.0,0.6666666666666666,0.4566037735849056,0.5433962264150943,0.4680544373701152,0.5319455626298847,9,8,8,9,3.0,2.6666666666666665,2.6666666666666665,3.0
3,20100408,ANA,MIN,1,10,10,1,4,4,34,37,8,11,0.0,1.0,1.0,0.75,0.2292993630573248,0.7707006369426752,0.2970885407078223,0.7029114592921777,11,12,12,11,2.75,3.0,3.0,2.75
4,20100409,ANA,OAK,4,10,10,4,5,5,35,41,8,13,0.0,1.0,1.0,0.8,0.2,0.7161100196463654,0.2753112730304569,0.6524960039577556,12,17,22,13,2.4,3.4,4.4,2.6
5,20100410,ANA,OAK,4,3,3,4,6,6,36,33,13,6,1.0,0.0,1.0,0.6666666666666666,0.2461538461538461,0.6711409395973155,0.3235008529437848,0.6130419377355097,16,27,32,17,2.6666666666666665,4.5,5.333333333333333,2.8333333333333335
6,20100411,ANA,OAK,4,9,9,4,7,7,32,34,7,9,0.0,1.0,1.0,0.7142857142857143,0.2292993630573248,0.7087604846225536,0.3139049426545685,0.6373215808883339,20,30,35,21,2.857142857142857,4.285714285714286,5.0,3.0
7,20100413,ANA,NYA,5,7,7,5,8,7,37,34,11,13,0.0,1.0,1.0,0.7142857142857143,0.2443346891342243,0.6580071174377224,0.3296145411932569,0.606465607301515,24,36,44,26,3.0,5.142857142857143,5.5,3.7142857142857144
8,20100414,ANA,NYA,5,3,3,5,9,8,36,34,10,7,1.0,0.0,1.0,0.625,0.2838899803536345,0.6201641266119577,0.3633581213030004,0.5769946081330533,29,43,51,31,3.2222222222222223,5.375,5.666666666666667,3.875
9,20100415,ANA,NYA,2,6,6,2,10,9,31,33,6,9,0.0,1.0,1.0,0.6666666666666666,0.2647058823529412,0.6518804243008679,0.354486128022824,0.5945226374622662,34,46,54,36,3.4,5.111111111111111,5.4,4.0
10,20100416,ANA,TOR,7,5,5,7,11,11,36,34,11,8,1.0,0.0,1.0,0.6363636363636364,0.304412248929865,0.5391554702495202,0.3832169614671098,0.5222139481929853,36,48,60,42,3.272727272727273,4.363636363636363,5.454545454545454,3.8181818181818183
11,20100417,ANA,TOR,6,3,3,6,12,12,36,34,10,7,1.0,0.0,1.0,0.5833333333333334,0.341779359430605,0.509008277876968,0.4089936261578378,0.504984492328197,43,53,65,49,3.5833333333333335,4.416666666666667,5.416666666666667,4.083333333333333
12,20100418,ANA,TOR,3,1,1,3,13,13,33,31,7,4,1.0,0.0,1.0,0.5384615384615384,0.3622237106496986,0.4913050052926054,0.4238554655102888,0.495350074546397,49,56,68,55,3.769230769230769,4.3076923076923075,5.230769230769231,4.230769230769231
13,20100419,ANA,DET,2,0,0,2,14,13,26,34,4,9,1.0,0.0,1.0,0.5384615384615384,0.3798358733880422,0.4587481249147688,0.4362217852744641,0.4775805359612636,52,58,69,61,3.7142857142857144,4.461538461538462,4.928571428571429,4.6923076923076925
14,20100420,ANA,DET,6,5,5,6,15,14,32,38,10,11,1.0,0.0,1.0,0.5,0.3966505068312032,0.4546391752577319,0.4460931735679888,0.4757322946728373,54,58,69,63,3.6,4.142857142857143,4.6,4.5
15,20100421,ANA,DET,3,4,4,3,16,15,32,32,4,8,0.0,1.0,1.0,0.5333333333333333,0.3948075201432408,0.464075261035873,0.4462587225821479,0.4812401679722948,60,63,74,69,3.75,4.2,4.625,4.6
16,20100422,ANA,DET,4,5,5,4,17,16,34,34,9,11,0.0,1.0,1.0,0.5625,0.3945333098962911,0.472992700729927,0.4469666406599887,0.4861546969503673,63,67,78,72,3.7058823529411766,4.1875,4.588235294117647,4.5
