,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20130401,ANA,CIN,3,1,1,3,1,1,45,42,6,3,1.0,0.0,1.0,0.0,0.9,0.1,0.8369140440210939,0.1630859559789061,0,0,0,0,1.0,1.0,1.0,1.0
1,20130403,ANA,CIN,4,5,5,4,2,2,34,31,9,6,0.0,1.0,1.0,0.5,0.5764705882352941,0.4235294117647059,0.558433834810328,0.4415661651896719,3,1,1,3,1.5,0.5,0.5,1.5
2,20130404,ANA,CIN,4,5,5,4,3,3,36,30,11,7,0.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,0.5,7,6,6,7,2.3333333333333335,2.0,2.0,2.3333333333333335
3,20130405,ANA,TEX,2,3,3,2,4,4,31,35,6,12,0.0,1.0,1.0,0.75,0.4630136986301369,0.7191011235955056,0.4753818717842272,0.6498315898009348,11,13,11,8,2.75,3.25,2.75,2.0
4,20130406,ANA,TEX,8,4,4,8,5,5,35,36,12,9,1.0,0.0,1.0,0.6,0.5764705882352941,0.5524861878453039,0.5505240399729652,0.5343394529073915,13,16,14,10,2.6,3.2,2.8,2.0
5,20130407,ANA,TEX,3,7,7,3,6,6,35,30,10,8,0.0,1.0,1.0,0.6666666666666666,0.4796003330557868,0.6230769230769231,0.4869879568464881,0.5789849815144452,21,20,18,18,3.5,3.3333333333333335,3.0,3.0
6,20130409,ANA,OAK,5,9,9,5,7,8,37,38,13,12,0.0,1.0,1.0,0.75,0.4211316975463194,0.7518720217835262,0.4499809871473514,0.6641077489230395,24,38,25,22,3.4285714285714284,4.75,3.5714285714285716,2.75
7,20130410,ANA,OAK,5,11,11,5,8,9,40,44,14,16,0.0,1.0,1.0,0.7777777777777778,0.3634077334171644,0.7666362807657247,0.4130852210094519,0.6738395187105379,29,47,34,27,3.625,5.222222222222222,4.25,3.0
8,20130411,ANA,OAK,1,8,8,1,9,10,31,41,5,16,0.0,1.0,1.0,0.8,0.3036688150718889,0.8,0.376831596689241,0.6943465095018012,34,58,45,32,3.7777777777777777,5.8,5.0,3.2
9,20130412,ANA,HOU,0,5,5,0,10,10,29,35,4,10,0.0,1.0,1.0,0.4,0.2669426890390063,0.4485902056391774,0.3572597105898739,0.4696792770489008,35,41,53,51,3.5,4.1,5.3,5.1
10,20130413,ANA,HOU,5,4,4,5,11,11,34,30,13,4,1.0,0.0,1.0,0.3636363636363636,0.2939015429831006,0.4435770049680624,0.3783455977167843,0.4675866403757444,35,46,58,51,3.1818181818181817,4.181818181818182,5.2727272727272725,4.636363636363637
11,20130414,ANA,HOU,4,1,1,4,12,12,31,33,9,7,1.0,0.0,1.0,0.3333333333333333,0.3278577476714648,0.4194484760522496,0.4029871643574176,0.4551613809480549,40,50,62,56,3.3333333333333335,4.166666666666667,5.166666666666667,4.666666666666667
12,20130415,ANA,MIN,2,8,8,2,13,12,34,35,9,12,0.0,1.0,1.0,0.4166666666666667,0.2956546038843091,0.3902439024390244,0.3854447135641103,0.4390573668490067,44,40,63,58,3.3846153846153846,3.3333333333333335,4.846153846153846,4.833333333333333
13,20130416,ANA,MIN,6,8,8,6,14,13,37,36,10,15,0.0,1.0,1.0,0.4615384615384615,0.3022917831190609,0.4185798184730379,0.3904028537284141,0.4554372347123581,46,48,71,60,3.2857142857142856,3.6923076923076925,5.071428571428571,4.615384615384615
14,20130419,ANA,DET,8,1,1,8,15,16,37,34,16,10,1.0,0.0,1.0,0.5625,0.36,0.6222058977857068,0.4253875391861695,0.5621730356158517,52,76,79,52,3.466666666666667,4.75,5.266666666666667,3.25
15,20130420,ANA,DET,10,0,0,10,16,17,35,31,14,4,1.0,0.0,1.0,0.5294117647058824,0.4336283185840708,0.5475113122171946,0.4657189577882041,0.5235381214622941,60,77,80,60,3.75,4.529411764705882,5.0,3.5294117647058822
16,20130421,ANA,DET,4,3,3,4,17,18,42,49,7,10,1.0,0.0,1.0,0.5,0.4428629195309341,0.5389019872010778,0.4711249651691648,0.518904357423613,70,77,80,70,4.117647058823529,4.277777777777778,4.705882352941177,3.888888888888889
17,20130422,ANA,TEX,6,7,7,6,18,19,34,40,9,15,0.0,1.0,1.0,0.6842105263157895,0.4413793103448276,0.6973265128848567,0.4706375882551252,0.5946119309350648,74,78,83,50,4.111111111111111,4.105263157894737,4.611111111111111,2.6315789473684212
18,20130423,ANA,TEX,5,4,4,5,19,20,37,39,10,8,1.0,0.0,1.0,0.65,0.4498474565718199,0.6803813777701426,0.4752862674989384,0.5849163866949378,80,85,90,56,4.2105263157894735,4.25,4.7368421052631575,2.8
19,20130424,ANA,TEX,3,11,11,3,20,21,33,38,9,11,0.0,1.0,1.0,0.6666666666666666,0.4125952368266823,0.7094211123723042,0.4570074860872003,0.5997682078298006,85,89,94,61,4.25,4.238095238095238,4.7,2.9047619047619047
20,20130425,ANA,SEA,0,6,6,0,21,24,30,29,7,11,0.0,1.0,1.0,0.375,0.3859456765512086,0.3402758846300638,0.4446116974092814,0.428022927382677,88,73,105,110,4.190476190476191,3.0416666666666665,5.0,4.583333333333333
21,20130426,ANA,SEA,6,3,3,6,22,25,33,35,9,11,1.0,0.0,1.0,0.36,0.404727006229388,0.333201189296333,0.4545359767523125,0.4253411908610783,88,79,111,110,4.0,3.16,5.045454545454546,4.4
22,20130427,ANA,SEA,2,3,3,2,23,26,31,34,6,10,0.0,1.0,1.0,0.3846153846153846,0.4023575638506876,0.3416237174334484,0.4542165368166851,0.430373401536759,94,82,114,116,4.086956521739131,3.1538461538461537,4.956521739130435,4.461538461538462
23,20130428,ANA,SEA,1,2,2,1,24,27,31,31,4,6,0.0,1.0,1.0,0.4074074074074074,0.3991938905388205,0.3483202945236999,0.4536283996359969,0.4345925873328121,96,85,117,118,4.0,3.1481481481481484,4.875,4.37037037037037
24,20130429,ANA,OAK,8,10,10,8,25,27,70,71,15,15,0.0,1.0,1.0,0.5555555555555556,0.3985035783994795,0.5607065147830539,0.4533037312881149,0.5279285915782697,97,138,119,123,3.88,5.111111111111111,4.76,4.555555555555555
25,20130430,ANA,OAK,6,10,10,6,26,28,36,32,9,10,0.0,1.0,1.0,0.5714285714285714,0.3893875229125845,0.5708275215512313,0.4491587727312479,0.5324849540849179,105,148,129,131,4.038461538461538,5.285714285714286,4.961538461538462,4.678571428571429
26,20130501,ANA,OAK,5,4,4,5,27,29,34,32,10,8,1.0,0.0,1.0,0.5517241379310345,0.3968736174605515,0.5655059472504741,0.4532029351244905,0.5296880261229149,111,158,139,137,4.111111111111111,5.448275862068965,5.148148148148148,4.724137931034483
27,20130502,ANA,BAL,1,5,5,1,28,29,30,37,4,10,0.0,1.0,1.0,0.5862068965517241,0.3845980951310651,0.5928192007119615,0.4481985170304718,0.540726011730131,116,141,143,120,4.142857142857143,4.862068965517241,5.107142857142857,4.137931034482759
28,20130503,ANA,BAL,4,0,0,4,29,30,32,30,8,3,1.0,0.0,1.0,0.5666666666666667,0.4006293610617047,0.5770282342113099,0.4562451182133565,0.5332013099207257,117,146,148,121,4.0344827586206895,4.866666666666666,5.103448275862069,4.033333333333333
29,20130504,ANA,BAL,4,5,5,4,30,31,33,39,6,12,0.0,1.0,1.0,0.5806451612903226,0.4002920530819285,0.5780893463820294,0.4565147909975684,0.5333592457288566,121,146,148,125,4.033333333333333,4.709677419354839,4.933333333333334,4.032258064516129
30,20130505,ANA,BAL,4,8,8,4,31,32,36,35,11,8,0.0,1.0,1.0,0.59375,0.390982566608712,0.5883407028159181,0.452652636406847,0.5375890165995997,125,151,153,129,4.032258064516129,4.71875,4.935483870967742,4.03125
31,20130507,ANA,HOU,6,7,7,6,32,33,35,30,7,7,0.0,1.0,1.0,0.2727272727272727,0.3923658205774075,0.2888098981475152,0.4535174864004082,0.4041324731800866,129,123,161,198,4.03125,3.727272727272727,5.03125,6.0
32,20130508,ANA,HOU,1,3,3,1,33,34,31,32,9,9,0.0,1.0,1.0,0.2941176470588235,0.3874562708171858,0.2962286900894262,0.4519925785150783,0.409062776155107,135,130,168,204,4.090909090909091,3.823529411764706,5.090909090909091,6.0
33,20130509,ANA,HOU,6,5,5,6,34,35,36,34,8,13,1.0,0.0,1.0,0.2857142857142857,0.3942901838091514,0.2995988358373319,0.4552870384131943,0.411347595640609,136,133,171,205,4.0,3.8,5.029411764705882,5.857142857142857
34,20130510,ANA,CHA,7,5,5,7,35,33,37,34,11,7,1.0,0.0,1.0,0.4242424242424242,0.4039336268694734,0.4428112234648095,0.4596882204312842,0.4773995033780587,142,110,176,122,4.057142857142857,3.3333333333333335,5.0285714285714285,3.696969696969697
35,20130511,ANA,CHA,3,2,2,3,36,34,32,34,7,8,1.0,0.0,1.0,0.4117647058823529,0.4082483699397452,0.4399768585478739,0.4619773265516964,0.4765311563086267,149,115,181,129,4.138888888888889,3.3823529411764706,5.027777777777778,3.7941176470588234
36,20130512,ANA,CHA,0,3,3,0,37,35,28,31,1,8,0.0,1.0,1.0,0.4285714285714285,0.4004159445407279,0.4524886877828054,0.4591906883687531,0.4816905086379586,152,117,183,132,4.108108108108108,3.342857142857143,4.945945945945946,3.7714285714285714
37,20130513,ANA,KCA,4,11,11,4,38,35,36,46,9,19,0.0,1.0,1.0,0.5428571428571428,0.3853986855649695,0.5578258143908612,0.4529854564853564,0.5232972699507428,152,144,186,134,4.0,4.114285714285714,4.894736842105263,3.8285714285714287
38,20130514,ANA,KCA,6,2,2,6,39,36,31,34,12,6,1.0,0.0,1.0,0.5277777777777778,0.3985724048902726,0.5431089567037567,0.4588676934614698,0.51719718061028,156,155,197,138,4.0,4.305555555555555,5.051282051282051,3.8333333333333335
39,20130515,ANA,KCA,5,9,9,5,40,37,36,38,12,13,0.0,1.0,1.0,0.5405405405405406,0.3919581746377524,0.5538115240066724,0.4562645900187878,0.5214389311575551,162,157,199,144,4.05,4.243243243243243,4.975,3.891891891891892
40,20130516,ANA,CHA,4,5,5,4,41,39,31,36,7,9,0.0,1.0,1.0,0.4615384615384615,0.3919179734620024,0.4625101779690589,0.4565600034473036,0.4858243596199002,167,136,208,148,4.073170731707317,3.4871794871794872,5.073170731707317,3.7948717948717947
41,20130517,ANA,CHA,0,3,3,0,42,40,29,32,3,8,0.0,1.0,1.0,0.475,0.3852721451440768,0.472992700729927,0.4543312604663417,0.4899118562393993,171,141,213,152,4.071428571428571,3.525,5.071428571428571,3.8
42,20130518,ANA,CHA,12,9,9,12,43,41,31,44,12,17,1.0,0.0,1.0,0.4634146341463415,0.3981382409586989,0.4653414173541397,0.4595119334054099,0.486973203123959,171,144,216,152,3.9767441860465116,3.5121951219512195,5.023255813953488,3.707317073170732
