,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20150406,ANA,SEA,1,4,4,1,1,1,29,32,4,10,0.0,1.0,1.0,1.0,0.0588235294117647,0.9411764705882352,0.0997335823282657,0.9002664176717343,0,0,0,0,1.0,1.0,1.0,1.0
1,20150407,ANA,SEA,2,0,0,2,2,2,32,29,5,2,1.0,0.0,1.0,0.5,0.36,0.64,0.4092955264665892,0.5907044735334107,1,4,4,1,0.5,2.0,2.0,0.5
2,20150408,ANA,SEA,5,3,3,5,3,3,34,35,10,9,1.0,0.0,1.0,0.3333333333333333,0.5663716814159292,0.4336283185840708,0.5433153846924881,0.456684615307512,3,4,4,3,1.0,1.3333333333333333,1.3333333333333333,1.0
3,20150410,ANA,KCA,2,4,4,2,4,4,33,35,7,9,0.0,1.0,1.0,1.0,0.4524886877828054,0.8852691218130312,0.4705521675746872,0.8102394963541713,8,21,7,7,2.0,5.25,1.75,1.75
4,20150411,ANA,KCA,4,6,6,4,5,5,32,36,6,12,0.0,1.0,1.0,1.0,0.4041237113402062,0.8504424778761062,0.4405008411970322,0.7655780725016668,10,25,11,9,2.0,5.0,2.2,1.8
5,20150412,ANA,KCA,2,9,9,2,6,6,30,41,5,14,0.0,1.0,1.0,1.0,0.2746781115879828,0.8767123287671232,0.3560916332610039,0.7846555634581075,14,31,17,13,2.3333333333333335,5.166666666666667,2.8333333333333335,2.1666666666666665
6,20150413,ANA,TEX,6,3,3,6,7,8,38,33,12,7,1.0,0.0,1.0,0.375,0.3652830188679245,0.324,0.418695703053563,0.3923139803553757,16,24,26,33,2.2857142857142856,3.0,3.7142857142857144,4.125
7,20150414,ANA,TEX,2,8,8,2,8,9,32,33,7,11,0.0,1.0,1.0,0.4444444444444444,0.2961439588688946,0.4215416379903647,0.3766959345906389,0.4541528572924512,22,27,29,39,2.75,3.0,3.625,4.333333333333333
8,20150415,ANA,TEX,10,2,2,10,9,10,39,33,13,6,1.0,0.0,1.0,0.4,0.4318266716473664,0.3448362720403022,0.4606720503345352,0.409205522621076,24,35,37,41,2.6666666666666665,3.5,4.111111111111111,4.1
9,20150417,ANA,HOU,6,3,3,6,10,10,31,34,6,8,1.0,0.0,1.0,0.4,0.4756242568370987,0.330562347188264,0.4863244613630522,0.4093038188605474,34,23,39,31,3.4,2.3,3.9,3.1
10,20150418,ANA,HOU,0,4,4,0,11,11,30,28,3,4,0.0,1.0,1.0,0.4545454545454545,0.4305705059203444,0.3966505068312032,0.4623730480699783,0.4475369093208969,40,26,42,37,3.6363636363636362,2.3636363636363638,3.8181818181818183,3.3636363636363638
