,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20210401,ANA,CHA,4,3,3,4,1,1,30,33,6,7,1.0,0.0,1.0,0.0,0.64,0.36,0.6231336111945953,0.3768663888054047,0,0,0,0,1.0,1.0,1.0,1.0
1,20210402,ANA,CHA,8,12,12,8,2,2,35,40,8,13,0.0,1.0,1.0,0.5,0.3902439024390244,0.6097560975609756,0.3967011143046406,0.6032988856953593,4,3,3,4,2.0,1.5,1.5,2.0
2,20210403,ANA,CHA,5,3,3,5,3,3,33,35,9,9,1.0,0.0,1.0,0.3333333333333333,0.4714518760195758,0.5285481239804242,0.4763128352322628,0.5236871647677371,12,15,15,12,4.0,5.0,5.0,4.0
3,20210404,ANA,CHA,7,4,4,7,4,4,33,33,10,5,1.0,0.0,1.0,0.25,0.5433962264150943,0.4566037735849056,0.5336566058755772,0.4663433941244229,17,18,18,17,4.25,4.5,4.5,4.25
4,20210405,ANA,HOU,7,6,6,7,5,5,34,39,10,11,1.0,0.0,1.0,0.8,0.5507163323782235,0.8678368611254518,0.5376260374885836,0.799042413209979,24,35,22,9,4.8,7.0,4.4,1.8
5,20210406,ANA,HOU,2,4,4,2,6,6,32,34,7,7,0.0,1.0,1.0,0.8333333333333334,0.5153809749171794,0.8620689655172413,0.5106378673169224,0.7783255123436673,31,41,28,16,5.166666666666667,6.833333333333333,4.666666666666667,2.6666666666666665
6,20210408,ANA,TOR,7,5,5,7,7,7,43,39,11,7,1.0,0.0,1.0,0.4285714285714285,0.5389019872010778,0.4803996925441968,0.5260325088057094,0.488355650106165,33,20,32,19,4.714285714285714,2.857142857142857,4.571428571428571,2.7142857142857144
7,20210409,ANA,TOR,7,1,1,7,8,8,36,32,9,5,1.0,0.0,1.0,0.375,0.6047084588009854,0.3830028328611898,0.5675838356294146,0.4317468851847856,40,25,37,26,5.0,3.125,4.625,3.25
8,20210410,ANA,TOR,1,15,15,1,9,9,31,39,6,14,0.0,1.0,1.0,0.4444444444444444,0.4506160766673186,0.5925273175890025,0.4687983655908291,0.5539817846135748,47,26,38,33,5.222222222222222,2.888888888888889,4.222222222222222,3.6666666666666665
9,20210412,ANA,KCA,10,3,3,10,10,8,39,34,14,7,1.0,0.0,1.0,0.5,0.5175384615384615,0.4524886877828054,0.5108123377173699,0.4696502996613502,48,37,53,34,4.8,4.625,5.3,4.25
10,20210413,ANA,KCA,2,3,3,2,11,9,37,28,12,5,0.0,1.0,1.0,0.5555555555555556,0.5084027679706257,0.4663303909205548,0.5049761308890696,0.4795060639983967,58,40,56,44,5.2727272727272725,4.444444444444445,5.090909090909091,4.888888888888889
11,20210414,ANA,KCA,1,6,6,1,12,10,34,33,6,11,0.0,1.0,1.0,0.6,0.4682859300276868,0.520824295010846,0.4817867098218963,0.5122217345206522,60,43,59,46,5.0,4.3,4.916666666666667,4.6
12,20210416,ANA,MIN,10,3,3,10,13,14,35,33,12,10,1.0,0.0,1.0,0.4285714285714285,0.5215726849456803,0.5467722289890378,0.5121859183410693,0.5248062378268679,61,64,65,51,4.6923076923076925,4.571428571428571,5.0,3.642857142857143
13,20210419,ANA,TEX,4,6,6,4,14,17,34,35,9,8,0.0,1.0,1.0,0.4705882352941176,0.5067111071074678,0.4289340101522843,0.5037102691501028,0.4651814231647729,71,59,68,71,5.071428571428571,3.4705882352941178,4.857142857142857,4.176470588235294
14,20210420,ANA,TEX,6,2,2,6,15,18,30,30,8,5,1.0,0.0,1.0,0.4444444444444444,0.531814865850693,0.4062443438914027,0.517199429601357,0.4546126496987988,75,65,74,75,5.0,3.611111111111111,4.933333333333334,4.166666666666667
15,20210421,ANA,TEX,4,7,7,4,16,19,36,31,10,6,0.0,1.0,1.0,0.4736842105263157,0.5119030749610316,0.4311471537674199,0.5063244996033553,0.4671275807483629,81,67,76,81,5.0625,3.526315789473684,4.75,4.2631578947368425
16,20210422,ANA,HOU,2,8,8,2,17,18,35,38,8,13,0.0,1.0,1.0,0.4444444444444444,0.4775394321766562,0.5302752293577981,0.488265422488149,0.5149970821682026,85,77,83,78,5.0,4.277777777777778,4.882352941176471,4.333333333333333
17,20210423,ANA,HOU,4,5,5,4,18,19,41,36,13,8,0.0,1.0,1.0,0.4736842105263157,0.47328113390867,0.5344418052256532,0.4862835537356071,0.5168118627304185,87,85,91,80,4.833333333333333,4.473684210526316,5.055555555555555,4.2105263157894735
18,20210424,ANA,HOU,2,16,16,2,19,20,30,42,5,18,0.0,1.0,1.0,0.5,0.4081064502430048,0.603048518677544,0.4526428792961466,0.5507701238748525,91,90,96,84,4.7894736842105265,4.5,5.052631578947368,4.2
19,20210425,ANA,HOU,4,2,2,4,20,21,34,29,7,4,1.0,0.0,1.0,0.4761904761904761,0.4199509038161125,0.5901639344262295,0.459660916374283,0.5434975792161304,93,106,112,86,4.65,5.0476190476190474,5.6,4.095238095238095
20,20210426,ANA,TEX,9,4,4,9,21,23,43,32,16,6,1.0,0.0,1.0,0.391304347826087,0.4465818759936407,0.3881355120034501,0.4734493563926075,0.4480944737579396,97,86,114,104,4.619047619047619,3.739130434782609,5.428571428571429,4.521739130434782
21,20210427,ANA,TEX,1,6,6,1,22,24,36,31,10,9,0.0,1.0,1.0,0.4166666666666667,0.4268033550792171,0.4149108589951377,0.4641484505035173,0.4612953085610567,106,90,118,113,4.818181818181818,3.75,5.363636363636363,4.708333333333333
22,20210428,ANA,TEX,4,3,3,4,23,25,33,33,7,8,1.0,0.0,1.0,0.4,0.4330755711775044,0.4131085353003161,0.467781664992535,0.4609925650663599,107,96,124,114,4.6521739130434785,3.84,5.391304347826087,4.56
