,date,team1,team2,team1_rs,team2_rs,team1_ra,team2_ra,team1_gn,team2_gn,team1_at_bats,team2_at_bats,team1_hits,team2_hits,team1_win,team2_win,team1_win_frac_acutal,team2_win_frac_actual,team1_win_frac_cum_pyth,team2_win_frac_cum_pyth,team1_win_frac_cum_pythpat,team2_win_frac_cum_pythpat,team1_past_rs,team2_past_rs,team1_past_ra,team2_past_ra,team1_past_avg_rs,team2_past_avg_rs,team1_past_avg_ra,team2_past_avg_ra
0,20140331,ANA,SEA,3,10,10,3,1,1,34,36,6,11,0.0,1.0,1.0,1.0,0.0825688073394495,0.9174311926605504,0.0749013275591804,0.9250986724408196,0,0,0,0,1.0,1.0,1.0,1.0
1,20140401,ANA,SEA,3,8,8,3,2,2,33,36,8,10,0.0,1.0,1.0,1.0,0.1,0.9,0.1196861045251061,0.8803138954748938,3,10,10,3,1.5,5.0,5.0,1.5
2,20140402,ANA,SEA,2,8,8,2,3,3,29,38,3,13,0.0,1.0,1.0,1.0,0.0864864864864864,0.9135135135135136,0.1257509190900353,0.8742490809099646,6,18,18,6,2.0,6.0,6.0,2.0
3,20140404,ANA,HOU,11,1,1,11,4,4,41,33,15,7,1.0,0.0,1.0,0.5,0.3311926605504587,0.3076923076923077,0.367137673010264,0.3645290798792251,8,11,26,7,2.0,2.75,6.5,1.75
4,20140405,ANA,HOU,5,1,1,5,5,5,41,31,14,4,1.0,0.0,1.0,0.4,0.4235294117647059,0.2421203438395415,0.4451609830465466,0.3244233325316969,19,12,27,18,3.8,2.4,5.4,3.6
5,20140406,ANA,HOU,4,7,7,4,6,6,34,31,8,7,0.0,1.0,1.0,0.5,0.3902439024390244,0.354295837023915,0.4241263677603826,0.4065681962071386,24,13,28,23,4.0,2.1666666666666665,4.666666666666667,3.8333333333333335
6,20140407,ANA,HOU,9,1,1,9,7,7,36,30,8,4,1.0,0.0,1.0,0.4285714285714285,0.5136960600375234,0.2538860103626943,0.5090170925866838,0.3405197227918439,28,20,35,27,4.0,2.857142857142857,5.0,3.857142857142857
7,20140408,ANA,SEA,3,5,5,3,8,7,30,32,4,8,0.0,1.0,1.0,0.7142857142857143,0.487656202377324,0.7752293577981652,0.4922098057160818,0.6836062401318739,37,34,36,18,4.625,4.857142857142857,4.5,2.5714285714285716
8,20140409,ANA,SEA,2,0,0,2,9,8,34,29,7,1,1.0,0.0,1.0,0.625,0.5120464441219158,0.7419512195121951,0.5071810257684184,0.6495882782291743,40,39,41,21,4.444444444444445,4.875,4.555555555555555,2.625
9,20140411,ANA,NYN,5,4,4,5,10,10,42,41,11,10,1.0,0.0,1.0,0.4,0.5217288615965989,0.4385059216519891,0.512598292396859,0.4655198800231503,42,34,41,38,4.2,3.4,4.1,3.8
10,20140412,ANA,NYN,6,7,7,6,11,11,45,47,9,11,0.0,1.0,1.0,0.4545454545454545,0.5095229457645565,0.4575237234523271,0.5054406265238133,0.476453751967246,47,38,45,43,4.2727272727272725,3.4545454545454546,4.090909090909091,3.909090909090909
11,20140413,ANA,NYN,14,2,2,14,12,12,40,30,17,6,1.0,0.0,1.0,0.4166666666666667,0.6062120189061445,0.3575590806086112,0.5608662466183627,0.4198551523262936,53,45,52,49,4.416666666666667,3.75,4.333333333333333,4.083333333333333
12,20140414,ANA,OAK,2,3,3,2,13,13,33,34,5,9,0.0,1.0,1.0,0.6923076923076923,0.5943820224719101,0.7161100196463654,0.5522482954176392,0.6125856453836699,67,51,54,32,5.153846153846154,3.923076923076923,4.153846153846154,2.4615384615384617
13,20140415,ANA,OAK,9,10,10,9,14,14,46,46,12,16,0.0,1.0,1.0,0.7142857142857143,0.5754279769223494,0.688982338099243,0.5415964479059672,0.5986497857580577,69,54,57,34,4.928571428571429,3.857142857142857,4.071428571428571,2.4285714285714284
14,20140416,ANA,OAK,5,4,4,5,15,15,49,43,12,8,1.0,0.0,1.0,0.6666666666666666,0.5774518021793797,0.6674364896073903,0.5418396943653995,0.5853885970962498,78,64,67,43,5.2,4.266666666666667,4.466666666666667,2.8666666666666667
15,20140418,ANA,DET,11,6,6,11,16,13,38,37,13,11,1.0,0.0,1.0,0.5384615384615384,0.5984422621063326,0.4734700266082329,0.553059811382763,0.4858750166605365,83,49,71,47,5.1875,3.769230769230769,4.4375,3.6153846153846154
16,20140419,ANA,DET,2,5,5,2,17,14,30,31,4,10,0.0,1.0,1.0,0.5714285714285714,0.578168130489335,0.5,0.5410639546587503,0.5,94,55,77,58,5.529411764705882,3.9285714285714284,4.529411764705882,4.142857142857143
17,20140420,ANA,DET,1,2,2,1,18,15,32,28,7,5,0.0,1.0,1.0,0.6,0.5714546006680838,0.5081295439524124,0.5365000837518283,0.5040939497305498,96,60,82,60,5.333333333333333,4.0,4.555555555555555,4.0
18,20140421,ANA,WAS,4,2,2,4,19,20,38,29,12,3,1.0,0.0,1.0,0.55,0.5797010854122862,0.5173358273765782,0.5399249513901553,0.5082014762873927,97,86,84,81,5.105263157894737,4.3,4.421052631578948,4.05
19,20140422,ANA,WAS,7,2,2,7,20,21,36,28,9,3,1.0,0.0,1.0,0.5238095238095238,0.6009892827699918,0.4890123158657329,0.5500268477644975,0.4948688501491274,101,88,86,85,5.05,4.190476190476191,4.3,4.0476190476190474
20,20140423,ANA,WAS,4,5,5,4,21,22,31,37,8,11,0.0,1.0,1.0,0.5454545454545454,0.5918935497569953,0.4947645414176854,0.5447887554332113,0.497585105206122,108,90,88,92,5.142857142857143,4.090909090909091,4.190476190476191,4.181818181818182
21,20140425,ANA,NYA,13,1,1,13,22,23,43,31,16,6,1.0,0.0,1.0,0.5652173913043478,0.6387719226523855,0.4524886877828054,0.5679408658013505,0.4779842023393976,112,99,93,97,5.090909090909091,4.304347826086956,4.2272727272727275,4.217391304347826
